date_imaged,fly_num,thorimage_name,cell_mask_coord,metric,trial_row,trial_col,Fc,F,Fneu,spks,Fc_smooth,Fc_zscore,Fc_zscore_smoothed,Fc_normed,Fc_normed_smoothed,title_str,abbrev_row,conc_row,abbrev_col,conc_col
2022-10-10,2,megamat0,iscell_good_xid0,cosine,6al @ -3.0,ep @ -3.0,0.9267516309044369,0.8618905493121808,0.2595493766707879,0.9035720554798112,0.9265675621030801,0.9314657938064373,0.9309044050135395,0.9311804393443457,0.9306204550794102,2022-10-10/2/megamat0,6al,-3.0,ep,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,6al @ -3.0,ms @ -3.0,0.9753171598700647,0.9152140387174662,0.26450687821148294,0.9643536538445259,0.976219387004182,0.9712934589115151,0.9725857163056367,0.9707356619780673,0.9720419864245429,2022-10-10/2/megamat0,6al,-3.0,ms,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,6al @ -3.0,pa @ -3.0,0.9828620315535734,0.9243274825960945,0.30031720407763346,0.919045426910081,0.9826627826604791,0.9677719908429848,0.9677095712851005,0.9674459370614219,0.9673858610093876,2022-10-10/2/megamat0,6al,-3.0,pa,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,6al @ -3.0,t2h @ -3.0,0.556701031962667,0.522943041037286,0.16470290067083423,0.622965907849036,0.5570550198966244,0.5343020447838698,0.5341742360480765,0.5318368748714054,0.5317114500654259,2022-10-10/2/megamat0,6al,-3.0,t2h,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,6al @ -3.0,va @ -3.0,0.8046531067845231,0.7691586953023652,0.33417825979255855,0.7161100417633742,0.8041688546090983,0.8042995695382918,0.8037467656212067,0.8030877339659295,0.8025337799640525,2022-10-10/2/megamat0,6al,-3.0,va,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,1-5ol @ -3.0,0.779364298261372,0.7304337000988458,0.23068677353931497,0.8127029667267018,0.7782910135402831,0.8557854054695562,0.8553152590694153,0.8554710794236066,0.8550061194245028,2022-10-10/2/megamat0,B-cit,-3.0,1-5ol,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,1-6ol @ -3.0,0.7935241252566444,0.7472173729980649,0.2641643090827282,0.8709964565903012,0.7924201755761165,0.8620483676498504,0.8612626554106847,0.8611544187831298,0.860363076211415,2022-10-10/2/megamat0,B-cit,-3.0,1-6ol,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,1-8ol @ -3.0,0.5993554637163645,0.5605412589535406,0.21281793877144242,0.6758476295613767,0.5978339423771867,0.6427197570439926,0.6406405528400043,0.6413299223964155,0.639233808779001,2022-10-10/2/megamat0,B-cit,-3.0,1-8ol,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,2-but @ -3.0,0.8266065820180797,0.7566626321675192,0.1982011483815298,0.7908208624671103,0.8263825610996187,0.8110901658931945,0.8104093012772222,0.8102387884528618,0.8095568538745458,2022-10-10/2/megamat0,B-cit,-3.0,2-but,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,2h @ -3.0,0.9476366164190746,0.8804191653182323,0.3309064551043317,0.958651998664881,0.9475419839173738,0.9498892721198717,0.9503951005327078,0.9494481564675612,0.9499479872847593,2022-10-10/2/megamat0,B-cit,-3.0,2h,-3.0
2022-10-10,2,megamat0,iscell_good_xid0,cosine,B-cit @ -3.0,6al @ -3.0,0.8915027649491333,0.8430523101262847,0.2830646830974738,0.9227063511027667,0.8906631695386135,0.9075426920322569,0.9073095952320307,0.9073869820106394,0.9071571156554162,2022-10-10/2/megamat0,B-cit,-3.0,6al,-3.0
