panel,odor,fly_id,glomerulus,delta_f_over_f,roi_depth_um,zscore_scaled_delta_f_over_f,maxabs_scaled_delta_f_over_f,to-avg-max_scaled_delta_f_over_f,split-minmax_scaled_delta_f_over_f,split-minmax-to-avg_scaled_delta_f_over_f,delta_spike_rate,date,fly_num
megamat,Lin @ -3,4,DL5,-0.16287976431439385,0.0,-1.3001560226447557,-0.06248049301879083,-0.1863858419573766,-0.41701358716817505,-0.20989717024848245,31,2023-04-26,3
megamat,Lin @ -3,5,DL5,0.551769339139778,0.0,0.6520478502060615,0.1959786676237838,0.5846248517878727,0.19592380318183636,0.5844611854223909,31,2023-05-08,1
megamat,Lin @ -3,6,DL5,0.21081564911820383,5.0,0.018219607372336792,0.09710651486633655,0.28967888469550546,0.09705757388634524,0.28953288863623694,31,2023-05-08,3
megamat,Lin @ -3,7,DL5,-0.3585633204085261,0.0,-1.9404093907512792,-0.09970512445248127,-0.29743080873180316,-0.9487603075549453,-0.47754344205468785,31,2023-05-09,1
megamat,Lin @ -3,8,DL5,0.32120925946338935,0.0,0.14161926169131725,0.11588000667591268,0.34568217321557865,0.11583747248630194,0.3455552892817373,31,2023-05-10,1
megamat,Lin @ -3,9,DL5,0.20252665344024368,0.0,0.13336826089491122,0.12050494622830842,0.35947885135984364,0.12049970068141957,0.3594632033451407,31,2023-06-22,1
megamat,6al @ -3,1,DL5,1.7968331936781479,0.0,4.150704079399895,0.6255601764351103,1.8661113980774335,0.6255580340694565,1.8661050071767402,177,2023-04-22,2
megamat,6al @ -3,2,DL5,0.7003739700714166,0.0,2.168147372127761,0.366329264724565,1.092798490222863,0.36625857909064274,1.0925876275878812,177,2023-04-22,3
megamat,6al @ -3,3,DL5,0.9052327697962674,0.0,3.0163356656826603,0.37023170897672,1.104439889361805,0.36979321565793766,1.1031318179547924,177,2023-04-26,2
megamat,6al @ -3,4,DL5,0.4809910720516084,0.0,0.8795789740636021,0.18450763018918157,0.5504055480168555,0.1844668869153096,0.5502840065718729,177,2023-04-26,3
megamat,6al @ -3,5,DL5,0.7273781221509917,0.0,1.1067896863570683,0.2583517878323596,0.7706903894283605,0.2583011795790169,0.7705394197183993,177,2023-05-08,1
megamat,6al @ -3,6,DL5,0.8566260878103115,5.0,2.299307298803712,0.3945815895488986,1.1770781284781664,0.39454877308627023,1.176980233539738,177,2023-05-08,3
megamat,6al @ -3,7,DL5,0.5075285303627138,0.0,0.8758168079362878,0.14112764023198182,0.42099850332782673,0.1411042115099556,0.4209286130009446,177,2023-05-09,1
megamat,6al @ -3,8,DL5,2.3001955629268784,0.0,5.134981722901732,0.8298225201638427,2.4754473216050683,0.8298143330837523,2.4754228986893376,177,2023-05-10,1
megamat,6al @ -3,9,DL5,0.9914585906638137,0.0,3.366079798973205,0.5899256326318012,1.7598098289212925,0.5899231868371232,1.7598025328601012,177,2023-06-22,1
megamat,t2h @ -3,1,DL5,0.6642601180876587,0.0,1.1504468248369455,0.23125946144122397,0.6898711477575689,0.231255063075391,0.6898580269725141,221,2023-04-22,2
megamat,t2h @ -3,2,DL5,0.4590954263347992,0.0,1.177437043557965,0.24012898416325856,0.7163298611964868,0.2400442209550757,0.7160770036859126,221,2023-04-22,3
megamat,t2h @ -3,3,DL5,0.8041296745723132,0.0,2.5997631879150793,0.32888149168838093,0.9810878687225048,0.32841420715500497,0.9796939101127231,221,2023-04-26,2
megamat,t2h @ -3,4,DL5,0.8390810032912084,0.0,2.0918425384412163,0.3218705220320815,0.9601734133590685,0.32183664162306197,0.9600723445573376,221,2023-04-26,3
megamat,t2h @ -3,5,DL5,0.8463579782347485,0.0,1.4148899834649593,0.30061131915339456,0.8967549888806466,0.30056359458672716,0.8966126215094788,221,2023-05-08,1
megamat,t2h @ -3,6,DL5,0.2999597048200845,5.0,0.33308817567489796,0.138168307984961,0.41217050588666204,0.1381215927430313,0.41203114943669467,221,2023-05-08,3
megamat,t2h @ -3,7,DL5,0.2683366677958446,0.0,0.09804896579131503,0.07461594461827897,0.22258716263554948,0.07459070155910442,0.2225118599512955,221,2023-05-09,1
megamat,t2h @ -3,8,DL5,0.5385750625127775,0.0,0.6900749227527916,0.19429726883877113,0.57960906345028,0.19425850723062305,0.5794934335213014,221,2023-05-10,1
megamat,t2h @ -3,9,DL5,0.319844222639262,0.0,0.6140863579510975,0.1903098194527348,0.567714085111116,0.1903049902410306,0.5676996790677896,221,2023-06-22,1
megamat,1-8ol @ -3,1,DL5,0.13005904581828676,0.0,-0.2646853878336312,0.0452795284143904,0.13507356647155405,0.04527406596029612,0.1350572713999833,-18,2023-04-22,2
megamat,1-8ol @ -3,2,DL5,-0.028532862867834862,0.0,-0.8248064014423705,-0.014924059319044888,-0.04452002900754073,-0.08164816258029961,-0.04109630671261929,-18,2023-04-22,3
megamat,1-8ol @ -3,3,DL5,0.3181943841060689,0.0,0.5975765334329921,0.13013851745656335,0.3882168013612088,0.12953285271637519,0.38641004012918845,-18,2023-04-26,2
megamat,1-8ol @ -3,4,DL5,0.06320001672492509,0.0,-0.5347944268922776,0.02424345479864001,0.07232075990887513,0.024194704475981894,0.0721753326003615,-18,2023-04-26,3
megamat,1-8ol @ -3,5,DL5,0.33891060773263565,0.0,0.10084665912055135,0.12037502745360593,0.35909129007408824,0.12031500400485094,0.3589122338520123,-18,2023-05-08,1
megamat,1-8ol @ -3,6,DL5,-0.02167650460724756,5.0,-0.8029733595476938,-0.009984694332220417,-0.029785386924495876,-0.03617178360065387,-0.018206493155715413,-18,2023-05-08,3
megamat,1-8ol @ -3,7,DL5,-0.09612492868469828,0.0,-1.0870520087877713,-0.026729303952713595,-0.0797363077891022,-0.2535640098359727,-0.12762741977509068,-18,2023-05-09,1
megamat,1-8ol @ -3,8,DL5,0.08958581116363329,0.0,-0.44281117618081195,0.0323191318116161,0.09641134861448439,0.032272577586125235,0.09627247249338561,-18,2023-05-10,1
megamat,1-8ol @ -3,9,DL5,0.26497434423865296,0.0,0.3892526547766046,0.15766181172682758,0.4703216652658681,0.157656787793556,0.47030667834775136,-18,2023-06-22,1
megamat,1-5ol @ -3,1,DL5,1.1544037338819209,0.0,2.4488680664841977,0.4019009699872437,1.1989126054435932,0.4018975479505403,1.1989023971503907,166,2023-04-22,2
megamat,1-5ol @ -3,2,DL5,0.9785084794328501,0.0,3.3101914465352196,0.5118069875738481,1.5267737447259084,0.5117525299026338,1.5266112918000445,166,2023-04-22,3
megamat,1-5ol @ -3,3,DL5,0.7479196698022325,0.0,2.36816255382438,0.3058921271602936,0.9125081911846861,0.3054088356559534,0.9110664821072592,166,2023-04-26,2
megamat,1-5ol @ -3,4,DL5,-0.06628278464338898,0.0,-0.9731404082187488,-0.025426001078829547,-0.07584841907796015,-0.16684641128291566,-0.08397949292782927,166,2023-04-26,3
megamat,1-5ol @ -3,5,DL5,1.2064461971831748,0.0,2.3473443576319784,0.42850825791145186,1.2782849266649448,0.42846926071791397,1.278168593960122,166,2023-05-08,1
megamat,1-5ol @ -3,6,DL5,0.6503747000173425,5.0,1.5708001799222184,0.29957747795331857,0.8936709325101497,0.2995395118308452,0.8935576755980936,166,2023-05-08,3
megamat,1-5ol @ -3,7,DL5,0.8748929835206903,0.0,2.0703568518458892,0.24328008147946312,0.7257299138848319,0.24325943931951807,0.725668336163926,166,2023-05-09,1
megamat,1-5ol @ -3,8,DL5,0.8713161921860983,0.0,1.5296446879925338,0.3143375329093338,0.9377017193588815,0.314304546326512,0.9376033169341328,166,2023-05-10,1
megamat,1-5ol @ -3,9,DL5,0.6955829812325128,0.0,2.1537058902548125,0.4138773259070427,1.234639327078482,0.4138738301125452,1.2346288987580696,166,2023-06-22,1
megamat,1-6ol @ -3,1,DL5,1.123682929659114,0.0,2.367486725428187,0.39120564680562514,1.1670073383770754,0.39120216357539583,1.1669969475371884,96,2023-04-22,2
megamat,1-6ol @ -3,2,DL5,0.48649468830979253,0.0,1.2899407557133529,0.2544601157047,0.7590811246628322,0.25437695112662806,0.7588330360329888,96,2023-04-22,3
megamat,1-6ol @ -3,3,DL5,1.0204066394450075,0.0,3.4908835927009094,0.4173367409776183,1.24495912385754,0.41693104581985463,1.2437488927933409,96,2023-04-26,2
megamat,1-6ol @ -3,4,DL5,1.0596427795580199,0.0,2.838523697939549,0.40647776947167513,1.212565676732888,0.4064481161730267,1.2124772178432672,96,2023-04-26,3
megamat,1-6ol @ -3,5,DL5,-0.1635220486385253,0.0,-1.2002109803817957,-0.05808012686832429,-0.17325908974642998,-0.35565856812064334,-0.1790150952396769,96,2023-05-08,1
megamat,1-6ol @ -3,6,DL5,0.5705497605021574,5.0,1.288847959753548,0.26280828312286514,0.7839845807313989,0.2627683239409024,0.7838653783145451,96,2023-05-08,3
megamat,1-6ol @ -3,7,DL5,0.3572936206268249,0.0,0.387305700968923,0.09935206108111475,0.29637758378819284,0.09932749278529707,0.29630429399356756,96,2023-05-09,1
megamat,1-6ol @ -3,8,DL5,0.8966036154351226,0.0,1.5934497127021185,0.32346026735294514,0.96491578983228,0.32342771965638256,0.9648186966511207,96,2023-05-10,1
megamat,1-6ol @ -3,9,DL5,0.6023472070739015,0.0,1.7716648691435175,0.3584013094880324,1.069148571018206,0.35839748281953615,1.069137155666068,96,2023-06-22,1
megamat,benz @ -3,1,DL5,1.792073180206999,0.0,4.138094504568543,0.6239029970835033,1.8611678588414233,0.6239008452362615,1.8611614396561618,200,2023-04-22,2
megamat,benz @ -3,2,DL5,1.4340916542730764,0.0,5.18085491228264,0.7500988953143443,2.2376234149179224,0.7500710189788609,2.237540256895174,200,2023-04-22,3
megamat,benz @ -3,3,DL5,1.5611902502975756,0.0,5.719060368198675,0.6385121636013579,1.9047485297062792,0.6382604678533481,1.9039976949794184,200,2023-04-26,2
megamat,benz @ -3,4,DL5,0.5064422086210094,0.0,0.965740250445426,0.1942706573364662,0.5795296785571203,0.19423040183869567,0.5794095921992372,200,2023-04-26,3
megamat,benz @ -3,5,DL5,0.4145235048986821,0.0,0.2966475017913281,0.14723138533836697,0.43920661302383485,0.14717319450154495,0.4390330236747237,200,2023-05-08,1
megamat,benz @ -3,6,DL5,0.7076177194969954,5.0,1.7729900785863606,0.3259449233746884,0.9723277784740438,0.3259083864890409,0.9722187851248418,200,2023-05-08,3
megamat,benz @ -3,7,DL5,1.0821419471049565,0.0,2.744257616963488,0.3009094666694315,0.8976443940872819,0.3008903965508158,0.8975875059299917,200,2023-05-09,1
megamat,benz @ -3,8,DL5,2.4595314382941242,0.0,5.5370167331443305,0.8873048054881028,2.646922987531299,0.8872993838272334,2.6469068141501824,200,2023-05-10,1
