acq,stim,peak_amp_thresh,max_sparsity,min_sparsity,kc_soma
3,1-8ol @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.08063300678221552
3,2-but @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.10738507912584777
3,2h @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.16465712132629992
3,6al @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.11718161266013565
3,B-cit @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.058025621703089676
3,IaA @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.14204973624717407
3,Lin @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.011303692539562924
3,aa @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.12509419743782968
3,benz @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.08590806330067823
3,eb @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.14657121326299924
3,ep @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.1333835719668425
3,ms @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.06066314996232103
3,pa @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.15975885455915598
3,t2h @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.09532780708364733
3,va @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.06857573474001508
