,2h(-7),ma(-7),farn(-3),farn(-2.5),2h(-7)+ma(-7),2h(-7)+farn(-3),2h(-7)+farn(-2.5),ma(-7)+farn(-3),ma(-7)+farn(-2.5),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,2h(-7)+farn(-2.5)_predicted,ma(-7)+farn(-3)_predicted,ma(-7)+farn(-2.5)_predicted
176,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
177,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
178,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
179,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
180,False,False,False,False,False,True,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
181,False,False,False,False,False,True,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
182,True,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,True,True,True,False,False
183,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
184,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
185,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
186,False,False,False,False,True,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
187,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
188,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
189,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
190,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
191,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
192,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
193,True,False,False,False,True,True,True,False,False,False,20250324_3FLfun1,True,True,True,False,False
194,False,False,False,True,False,False,False,False,False,False,20250324_3FLfun1,False,False,True,False,True
195,True,False,True,False,False,True,True,False,True,False,20250324_3FLfun1,True,True,True,True,False
196,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
197,False,False,False,False,False,False,False,False,True,False,20250324_3FLfun1,False,False,False,False,False
198,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
199,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
200,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
201,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
202,False,False,True,False,False,False,True,True,True,False,20250324_3FLfun1,False,True,False,True,False
203,True,False,True,False,True,True,True,False,False,False,20250324_3FLfun1,True,True,True,True,False
204,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
