,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
81,False,False,False,False,False,True,False,False,False,False,20250219_3FRfun1,False,True,True
82,True,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
83,False,True,False,False,False,True,True,True,False,False,20250219_3FRfun1,True,True,True
84,True,False,False,False,False,False,True,False,True,False,20250219_3FRfun1,False,False,False
85,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
86,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
87,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
88,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
89,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
90,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
91,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
92,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
93,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
94,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
95,False,True,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,True,True
96,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
97,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
98,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
99,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
100,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
101,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
102,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
103,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
104,False,False,False,False,True,True,False,True,False,False,20250219_3FRfun1,False,True,True
105,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
106,True,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
107,False,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
108,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
109,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
110,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
111,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
112,False,False,False,False,True,True,False,True,False,False,20250219_3FRfun1,False,True,True
113,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
114,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
115,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
116,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
117,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
118,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
119,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
120,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
121,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
122,False,False,False,False,True,True,False,True,False,False,20250219_3FRfun1,False,True,True
123,False,False,False,False,False,False,True,True,False,False,20250219_3FRfun1,False,False,False
124,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
125,True,False,True,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
126,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
127,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
128,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
129,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
130,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
131,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
132,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
133,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
134,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
135,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
136,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
137,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
138,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
