,odor,response_rate,experiment
135,2h(-7)+ma(-7)_predicted,0.14429049211657907,20250221_1FRfun1
136,2h(-7)+farn(-3)_predicted,0.11514572384137602,20250221_1FRfun1
137,ma(-7)+farn(-3)_predicted,0.1610129001433349,20250221_1FRfun1
138,2h(-8),0.01744186046511628,20250224_2FLfun1
139,2h(-7),0.03997093023255814,20250224_2FLfun1
140,ma(-8),0.0188953488372093,20250224_2FLfun1
141,ma(-7),0.08284883720930232,20250224_2FLfun1
142,farn(-4),0.05377906976744186,20250224_2FLfun1
143,farn(-3),0.053052325581395346,20250224_2FLfun1
144,2h(-7)+ma(-7),0.10101744186046512,20250224_2FLfun1
145,2h(-7)+farn(-3),0.09302325581395349,20250224_2FLfun1
146,ma(-7)+farn(-3),0.08212209302325581,20250224_2FLfun1
147,PFO,0.023255813953488372,20250224_2FLfun1
148,2h(-7)+ma(-7)_predicted,0.11991279069767442,20250224_2FLfun1
149,2h(-7)+farn(-3)_predicted,0.08866279069767442,20250224_2FLfun1
150,ma(-7)+farn(-3)_predicted,0.12936046511627908,20250224_2FLfun1
151,2h(-8),0.04242424242424243,20250224_3FLfun1
152,2h(-7),0.04787878787878788,20250224_3FLfun1
153,ma(-8),0.016363636363636365,20250224_3FLfun1
154,ma(-7),0.058787878787878785,20250224_3FLfun1
155,farn(-4),0.027878787878787878,20250224_3FLfun1
156,farn(-3),0.052121212121212124,20250224_3FLfun1
157,2h(-7)+ma(-7),0.13636363636363635,20250224_3FLfun1
158,2h(-7)+farn(-3),0.10848484848484849,20250224_3FLfun1
159,ma(-7)+farn(-3),0.07090909090909091,20250224_3FLfun1
160,PFO,0.00787878787878788,20250224_3FLfun1
161,2h(-7)+ma(-7)_predicted,0.10363636363636364,20250224_3FLfun1
162,2h(-7)+farn(-3)_predicted,0.09878787878787879,20250224_3FLfun1
163,ma(-7)+farn(-3)_predicted,0.10545454545454545,20250224_3FLfun1
164,2h(-7),0.06562137049941928,20250321_3FLfun1
165,ma(-7),0.023228803716608595,20250321_3FLfun1
166,farn(-3),0.06910569105691057,20250321_3FLfun1
167,farn(-2.5),0.047038327526132406,20250321_3FLfun1
168,2h(-7)+ma(-7),0.09349593495934959,20250321_3FLfun1
169,2h(-7)+farn(-3),0.052845528455284556,20250321_3FLfun1
170,2h(-7)+farn(-2.5),0.08246225319396051,20250321_3FLfun1
171,ma(-7)+farn(-3),0.08246225319396051,20250321_3FLfun1
172,ma(-7)+farn(-2.5),0.09059233449477352,20250321_3FLfun1
173,PFO,0.011033681765389082,20250321_3FLfun1
174,2h(-7)+ma(-7)_predicted,0.0859465737514518,20250321_3FLfun1
175,2h(-7)+farn(-3)_predicted,0.13124274099883856,20250321_3FLfun1
