bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
425790257,972128731,CA(R),CA(R),16719,14257,12282,16700,14235,12258,0.942,0.524717
425790257,972128731,CA(R),CA(R),16752,14402,12069,16774,14382,12064,0.974,0.534038
425790257,972128731,CA(R),CA(R),16647,13620,12275,16660,13618,12259,0.971,0.647103
425790257,972128731,CA(R),CA(R),16470,13787,12225,16476,13779,12199,0.977,0.47688413
425790257,972128731,CA(R),CA(R),15739,14083,13054,15756,14074,13040,0.961,0.878794
425790257,972128731,CA(R),CA(R),15544,13695,12951,15562,13719,12951,0.993,0.853302
425790257,972128731,CA(R),CA(R),15953,14090,12826,15935,14117,12820,0.965,0.556102
425790257,972128731,CA(R),CA(R),15809,11270,12970,15804,11283,12985,0.983,0.94674
425790257,972128731,CA(R),CA(R),15752,14056,13061,15760,14060,13041,0.985,0.81188
425790257,972128731,CA(R),CA(R),15845,13915,13063,15818,13928,13067,0.988,0.883517
425790257,972128731,CA(R),CA(R),17445,15412,11456,17456,15381,11451,0.996,0.46872053
425790257,972128731,CA(R),CA(R),17330,14887,11428,17315,14847,11431,0.984,0.793112
425790257,972128731,CA(R),CA(R),17368,14952,11444,17389,14950,11448,0.99,0.932335
425790257,972128731,CA(R),CA(R),16895,15028,10677,16897,15078,10681,0.991,0.599301
425790257,972128731,CA(R),CA(R),17210,14190,11477,17237,14201,11492,0.994,0.508618
425790257,972128731,CA(R),CA(R),17162,15044,10938,17165,15039,10934,0.897,0.416582
425790257,972128731,CA(R),CA(R),17091,15171,10824,17087,15167,10808,0.994,0.927697
425790257,972128731,CA(R),CA(R),17584,14814,11680,17567,14814,11649,0.988,0.768344
425790257,972128731,CA(R),CA(R),16726,14764,11775,16758,14758,11798,0.976,0.386954
425790257,972128731,CA(R),CA(R),17057,13892,11651,17078,13903,11655,0.887,0.580108
425790257,972128731,CA(R),CA(R),16836,14454,11559,16851,14447,11574,0.984,0.93503
425790257,972128731,CA(R),CA(R),16718,14404,11919,16741,14410,11922,0.986,0.587728
425790257,972128731,CA(R),CA(R),16952,14571,11853,16977,14593,11834,0.952,0.418183
425790257,971459227,CA(R),CA(R),17848,13358,12337,17853,13339,12364,0.995,0.644064
425790257,971459227,CA(R),CA(R),16184,12588,14676,16196,12575,14688,0.71,0.889949
425790257,971459227,CA(R),CA(R),17105,12713,14302,17097,12729,14286,0.944,0.831005
425790257,971459227,CA(R),CA(R),17190,13162,14505,17167,13146,14494,0.956,0.819903
425790257,971459227,CA(R),CA(R),17762,12932,13024,17783,12918,13030,0.954,0.95395
425790257,971459227,CA(R),CA(R),16824,12709,12842,16828,12696,12851,0.985,0.954332
425790257,971459227,CA(R),CA(R),17727,12629,13040,17721,12653,13024,0.976,0.456985
425790257,971459227,CA(R),CA(R),16670,12825,13139,16702,12806,13166,0.975,0.7739
425790257,971118724,CA(R),CA(R),16446,12485,12435,16433,12465,12451,0.991,0.777848
425790257,971118724,CA(R),CA(R),17340,12069,12091,17329,12067,12081,0.892,0.893488
425790257,971118724,CA(R),CA(R),17357,12058,12035,17323,12064,12050,0.843,0.634683
425790257,971118724,CA(R),CA(R),17336,11679,12213,17346,11687,12231,0.879,0.99978
425790257,971118724,CA(R),CA(R),16942,12503,12163,16944,12509,12155,0.989,0.430601
425790257,971118724,CA(R),CA(R),16540,13299,12282,16550,13286,12307,0.9,0.45892966
425790257,971118724,CA(R),CA(R),16670,12540,12811,16661,12567,12790,0.875,0.507429
425790257,971118724,CA(R),CA(R),16892,12294,11551,16915,12281,11542,0.862,0.941881
425790257,971118588,CA(R),CA(R),17213,14722,12074,17210,14696,12068,0.978,0.850972
425790257,971118588,CA(R),CA(R),17294,14411,12134,17315,14422,12127,0.993,0.842905
425790257,971118588,CA(R),CA(R),17664,13394,12187,17650,13425,12149,0.983,0.47415537
425790257,971118588,CA(R),CA(R),17468,13972,12179,17479,13971,12168,0.866,0.704668
425790257,971118588,CA(R),CA(R),15716,12251,10623,15732,12280,10624,0.998,0.690066
425790257,971118588,CA(R),CA(R),15711,14579,11343,15715,14569,11330,0.999,0.963827
425790257,971118588,CA(R),CA(R),15642,13849,10944,15607,13817,10937,0.995,0.904263
425790257,971118588,CA(R),CA(R),17347,13700,11860,17317,13690,11849,0.976,0.45611352
425790257,971118588,CA(R),CA(R),16540,13231,11677,16540,13222,11700,0.942,0.973648
425790257,971118588,CA(R),CA(R),16462,13203,11584,16482,13170,11574,0.944,0.600106
425790257,971118202,CA(R),CA(R),16985,13008,12134,16996,13047,12113,0.947,0.4768633
425790257,971118202,CA(R),CA(R),14983,12094,11444,14982,12084,11426,0.969,0.883681
425790257,971118202,CA(R),CA(R),14418,13031,11509,14421,13046,11505,0.939,0.802547
425790257,971118202,CA(R),CA(R),15875,11790,13947,15890,11793,13927,0.97,0.888887
425790257,971118202,CA(R),CA(R),15348,12261,10864,15370,12264,10853,0.988,0.967459
425790257,971118202,CA(R),CA(R),15444,12299,10898,15441,12297,10883,0.97,0.950831
425790257,971118202,CA(R),CA(R),14821,12347,11581,14800,12343,11588,0.995,0.991807
425790257,971113967,CA(R),CA(R),17519,15777,11909,17512,15754,11918,0.996,0.908215
425790257,971113967,CA(R),CA(R),18168,13394,13328,18179,13408,13333,0.952,0.860169
425790257,971113967,CA(R),CA(R),18131,13367,13119,18133,13343,13127,0.97,0.95794
425790257,971113967,CA(R),CA(R),16386,15132,11327,16368,15137,11334,0.924,0.877307
425790257,971113967,CA(R),CA(R),17445,15412,11456,17430,15407,11454,0.996,0.854205
425790257,971113967,CA(R),CA(R),17180,12612,11361,17144,12610,11378,0.982,0.536388
425790257,971113967,CA(R),CA(R),16745,15081,11376,16753,15067,11362,0.993,0.915521
425790257,971113967,CA(R),CA(R),17182,14611,11269,17138,14618,11261,0.981,0.47329623
425790257,971113967,CA(R),CA(R),17102,14452,11504,17093,14456,11489,0.982,0.902506
425790257,971113967,CA(R),CA(R),16407,15741,10965,16394,15713,10959,0.963,0.810818
425790257,971113967,CA(R),CA(R),16920,14795,11157,16936,14797,11185,0.98,0.639969
425790257,971113967,CA(R),CA(R),16318,15216,11160,16326,15238,11140,0.987,0.45213866
425790257,971113967,CA(R),CA(R),16335,15221,11093,16341,15232,11113,0.994,0.537074
425790257,971113967,CA(R),CA(R),17009,11289,11671,16988,11280,11670,0.81,0.92652
425790257,970777224,CA(R),CA(R),16662,11953,14086,16634,11935,14062,0.965,0.411305
425790257,970777224,CA(R),CA(R),15496,12227,12206,15517,12206,12189,0.992,0.624009
425790257,970777224,CA(R),CA(R),15534,12098,12198,15539,12101,12200,0.829,0.761691
425790257,970777224,CA(R),CA(R),15557,13186,13339,15549,13174,13334,0.8,0.708272
425790257,970777224,CA(R),CA(R),15414,12882,14507,15444,12871,14491,0.991,0.625757
425790257,970777224,CA(R),CA(R),15636,12753,14532,15621,12743,14503,0.752,0.65015
425790257,970777224,CA(R),CA(R),14711,12630,11491,14722,12628,11466,0.981,0.778296
425790257,970777224,CA(R),CA(R),14697,12659,11438,14688,12643,11431,0.986,0.734967
425790257,970777224,CA(R),CA(R),15085,12705,11585,15074,12691,11603,0.993,0.918683
425790257,970777114,CA(R),CA(R),16130,12817,14784,16129,12802,14802,0.908,0.943439
425790257,970777114,CA(R),CA(R),16192,12650,14695,16180,12645,14705,0.979,0.894892
425790257,970777114,CA(R),CA(R),17571,14406,12021,17562,14392,12019,0.961,0.988064
425790257,970777114,CA(R),CA(R),16601,13180,12220,16607,13166,12234,0.998,0.996388
425790257,970777114,CA(R),CA(R),17697,12304,12172,17721,12320,12159,0.981,0.640801
425790257,970777114,CA(R),CA(R),16085,13637,12121,16120,13623,12131,0.991,0.596335
