,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
21,-0.63505656,-0.2374231,-0.43413603,-0.89532375,-0.13344705,-0.31529224,-0.7289031,-0.9374478,-0.19715032,0.20455208,-0.11077225,-0.34767926,-0.47516394,-0.74959326,-0.1742849,-0.40748936,0.020080566,0.36596906,-0.5747311,-0.12504458,-0.51824844,-0.10697907,-0.23592621,-0.19925153,-0.30884412,-0.6050284,-0.21934013,-1.0826529,-0.30808878,-0.2710556,-0.14357978,-0.53493696,-0.024426877,-0.387115,-0.67865264,-0.13708478
22,-0.0615502,-0.22359107,0.0437932,0.049230933,-0.0036376268,0.10820407,-0.33391237,-0.21585353,-0.059455037,0.08555144,-0.32260346,-0.01578921,0.20986462,-0.34122586,0.54977775,-0.33974528,0.18611634,-0.18660009,0.063007474,0.14414498,-0.16280043,0.05873531,-0.05564885,-0.4580009,-0.26182503,-0.32822806,-0.26023018,-0.18951303,-0.11263057,0.21496022,-0.00823307,-0.069818705,-0.09316884,-0.09443112,-0.3767591,-0.2973237
23,0.021214183,0.18459338,0.32195368,-0.35329986,0.10412124,-0.007873457,0.36481687,0.15876022,-0.08139035,0.2078028,0.056001514,0.4839555,0.15851063,0.15457541,-0.4739108,0.33145732,-0.30215576,0.3262952,0.1593077,0.16490121,0.20277773,-0.31741673,0.14089637,-0.031707153,0.097233444,0.43101335,0.24720317,-0.20964326,-0.08151837,0.19245559,-0.030724406,-0.11550904,-0.2569247,0.33584082,0.13604611,0.0045839846
24,-0.015006721,-0.4409931,-0.16847453,0.06934585,-0.29698652,0.5011873,-0.26259115,-0.7075584,-0.11812666,-0.07797615,-0.37605867,0.4741217,-0.098258495,-0.10841441,0.14002985,-0.14027156,0.11892551,-0.22968477,0.30638295,0.25517523,-0.16236061,-0.17381333,0.07953805,-0.38562948,0.23985764,-0.24588174,-0.3335152,-0.39975348,-0.23252568,-0.28802815,-0.3312344,0.3152044,-0.2568218,0.18112382,0.010104716,0.09928131
25,0.24795341,0.16748634,-0.15647972,0.003305912,0.5252916,0.1802805,0.004666254,-0.047101855,0.09591679,-0.018629551,-0.1851539,0.0039440393,0.53382427,0.002736628,0.27719432,0.22839203,0.16166343,0.5856509,-0.5558556,0.084561735,0.37266684,-0.176584,-0.2558683,-0.2533095,0.17109075,-0.02310419,-0.041474506,-0.41557145,-0.29569525,-0.17481577,0.08194983,-0.3133499,-0.045168698,0.12910193,0.09776956,-0.18627945
26,-0.16256624,-0.56081975,0.15102065,-0.0036081076,0.07750356,-0.6925874,0.50217944,-0.12165111,0.48916185,-0.21014966,-0.12531671,-0.31603977,0.41128665,0.19119322,-0.3305861,0.29742637,-0.106535375,0.30082417,-0.17184591,-0.43024385,-0.03443259,-0.30639148,-0.22279993,-0.31770074,0.3082392,-0.36862525,0.35966933,-0.18303919,-0.6331509,0.32060778,-0.46784142,0.042575955,0.14194769,-0.00040400028,-0.23865736,-0.319507
27,-0.4780593,-0.27890825,0.35728732,-0.1999385,-0.1327008,-0.4373052,-0.7012335,-0.3307551,0.037686706,0.23535961,-0.76546085,-0.24951506,0.15717465,-0.76267296,0.43306327,0.0843181,0.2530952,-0.013935521,-0.41399968,-0.39419302,0.81680644,0.23097771,0.5549512,-0.54212224,-0.35875982,-0.083085656,-0.55696535,-0.2435551,0.11971301,-0.071184635,-0.13274777,-0.064799905,-1.2147553,0.26208395,0.6611677,-1.0203705
28,0.7822089,1.8061634,2.7885478,0.14919084,0.23693502,0.34012887,0.7776118,2.8411517,3.3440585,-0.08523083,0.29780602,0.12849832,0.18938297,0.2744362,1.2234033,-0.14680243,-0.084253296,0.5845745,0.31218812,-0.08398309,0.1547857,0.04219258,0.2795638,-0.39027226,-0.05034834,-0.08118975,-0.49261722,-0.30829743,-0.010923679,0.05698037,-0.047778726,0.5160526,-0.61445653,-0.09238982,-0.022708725,-0.3596086
29,0.1522052,0.5712824,0.05869589,0.25376692,0.6498193,0.5220967,0.17899829,-0.04241848,0.047358412,0.04593283,0.28900108,0.27012184,0.52451086,-0.35262802,0.6660111,-0.089843765,0.39779004,-0.2890494,-0.09963977,-0.040753007,0.2395649,-0.107382715,-0.24029945,-0.42627764,-0.44551027,0.8440727,-0.114783496,0.16602752,0.15335062,0.085492805,-0.1519412,-1.0728985,-0.44309536,-0.055238664,0.010639846,0.7356605
30,0.37864602,0.27386224,0.89050907,0.015171513,0.1149296,0.14637774,0.38903272,-0.15258378,0.18493128,-0.6988505,0.39742386,-0.34093505,0.06285527,0.2653697,0.31900558,0.020014793,0.013924181,0.22173645,0.3720547,0.64976966,-0.4888123,-0.622046,-0.14789832,-0.84796625,0.4359585,-0.073331565,-0.032524526,-0.61361957,-0.2374444,-0.13783675,-0.085548505,-0.11119118,0.09030014,0.55780214,0.1162456,-0.35030144
31,0.13400018,-0.29298365,0.37961772,1.340652,1.0386416,1.6759801,-0.26006156,0.090290874,0.5729225,0.15398538,0.19838138,-0.36464044,-0.37752587,-0.012153417,-0.3117277,0.022158027,-0.28583312,-0.007482171,-0.25957426,0.27035093,-0.0070741624,0.27577448,-0.109407485,-0.5893432,0.03623414,-0.1560896,-0.22106847,-0.7211032,-0.14480934,-0.13889304,-0.19127214,-0.6410497,-0.34466153,-0.047487855,0.3292518,0.8756739
32,1.5713379,1.7923129,1.8552555,-0.26235387,-0.44576898,0.1770679,0.21628457,1.6628058,1.111089,-0.117506646,-0.5963973,-0.105100766,-0.20386904,1.2198489,2.8070488,0.24178095,0.6615938,0.51156956,0.4916767,0.0011227205,-0.037936687,-0.3025062,-0.11119938,-0.4116451,-0.48265734,1.1340764,0.66441494,0.2099143,-0.26729423,0.13387725,-0.18135588,0.20918833,-0.042750537,-0.01745385,-0.219504,-0.019898832
33,0.10166817,-0.034723774,-0.034870952,-0.0600134,0.1253491,0.11562598,-0.2668043,0.021479547,0.024788663,0.04864365,0.22209296,-0.05834067,-0.17432529,0.027483016,-1.1624901,-0.2694157,-0.5540184,-0.08241495,0.036524475,0.025730312,0.24269865,0.24414629,-0.054832757,0.30822223,0.28528368,0.108959936,0.15710825,-0.20546956,-0.141235,-0.11669539,0.29606494,0.170647,0.01966554,2.4960003,0.13756426,-0.1694779
34,-0.64336,0.10908431,-0.21379352,0.19888678,-0.047385115,-0.3136411,-0.0035504326,-0.443201,-0.1344975,0.58625317,0.24619482,0.7886425,-0.13864157,0.53068924,0.38818496,-0.49725977,0.14391276,-0.069661915,-0.53807664,0.759229,0.728985,-0.028702557,0.25151068,0.33520588,-0.18224591,-0.3209948,-0.018619418,0.55288446,0.6288334,0.23816922,-0.70756674,0.16225639,-0.51220876,-0.13090909,0.5061283,-0.34162578
