,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
47,0.083524644,0.17308354,-0.16404417,-0.045433793,-0.6060128,-0.50431454,0.15986481,0.10348759,0.8657337,-0.5775386,0.099718094,-0.5009195,0.741555,1.019192,1.1837858,1.1817353,0.59210706,1.8552244,-0.042734683,-0.4106218,-0.37154108,-0.23189573,-0.44390792,-0.34071195,-0.57739526,-0.18255728,-0.012272656,-0.07089305,-0.37936193,-0.047211707
48,-0.08986415,-0.06295492,-0.13740793,0.1593999,0.13106155,-0.021688044,-0.032040417,0.12055752,0.12891617,-0.044000864,0.023961157,0.16956264,-0.07276076,-0.07278299,-0.054259166,-0.15923852,0.17654449,-0.06469694,-0.24864241,0.07689145,-0.16397977,-0.29830164,0.079206735,0.11640942,-0.309455,-0.22373646,-0.24565357,0.55085397,0.34877002,0.3349478
49,-0.007794678,-0.011833727,0.7159852,-0.1695455,-0.13786638,0.14981788,-0.29155895,-0.7755523,-0.25808895,-0.20915926,0.08654034,-0.7640729,-0.040605567,-0.02142942,-0.459341,-0.21564353,-0.006477695,-0.09117764,-0.08956519,-0.59692186,-0.18247348,-0.12585366,0.10481137,-0.058083523,-0.25029367,-0.85258496,-0.6057702,-0.17426892,0.52804875,0.32815465
50,0.049832687,0.5063782,-0.1745586,-0.33742383,-0.4274318,0.30981004,-0.20932221,0.70832074,-0.14344445,0.55096936,0.28712907,0.21372455,0.4484626,0.545593,0.44221646,2.4736373,1.5554434,0.6832496,0.054085135,-0.10289863,-0.4137712,-0.24551427,-0.39142966,0.19602668,-0.6290289,-0.60577,-0.43322814,-0.3779137,-0.4907887,0.07615131
51,-0.06268215,0.0045410395,0.21030009,0.37732303,-0.6416283,0.2883848,-0.40576628,-0.50055283,-0.09609586,0.35093117,0.11409579,-1.1473478,0.008692205,0.7597672,-0.27410313,-0.17619184,-0.30809754,0.0792886,-0.012317151,0.23997822,0.2047211,-0.8713317,-0.6678081,-0.10528004,-0.551976,0.18038869,-0.07044375,-0.34352428,-0.1929413,-0.34142685
52,0.97203577,-0.20325124,0.71186936,-0.02457118,-0.21708262,0.39758307,0.02075684,-0.27941355,0.3124469,0.8930149,0.3925918,-0.51858866,0.27755716,0.33309522,-0.29240382,-0.38521886,0.29836622,-0.037264436,-0.07432675,0.6237934,-0.0811367,0.08758559,0.3744632,0.1757515,0.07177764,-0.665178,0.14212933,-0.10820329,0.088406466,-0.27386594
53,-0.08154343,0.30380476,-0.337129,-0.15902928,0.19956738,-0.23785578,-0.9455652,-0.07026285,0.1368624,0.27407756,-0.4104436,0.4954515,0.20845371,0.20505202,0.34303337,-0.33227545,-0.09286635,0.28890663,0.6686288,1.2802913,-0.4112905,-0.27736214,-0.16977888,-0.22087984,-0.2956702,-0.17900527,0.20138027,0.20978904,-0.36912632,0.36015773
54,0.6106243,0.549518,0.73455167,0.10401979,-0.0060067773,0.18875879,1.130821,-0.013313532,-0.058659576,2.0302458,2.2408593,1.3157992,-0.07818884,0.1576964,-0.19119215,0.7502752,0.77421176,0.30184028,0.07026678,0.34253716,0.16468292,0.051908165,-0.17792708,-0.082981676,-0.21621859,0.14056815,-0.19906408,0.18480912,0.02296853,0.058534205
55,0.75507176,0.0019219518,-0.4853357,0.02309227,-0.39451426,-0.11023122,-0.0010264516,0.034670413,0.58263886,0.18797487,-0.027865112,0.30211586,0.9092112,1.4531888,0.9742181,0.1419012,-0.033339262,-0.30753297,-0.3364426,0.44124702,0.24644706,2.2536964,1.4770112,1.126956,0.47798973,0.5481238,1.0356674,-0.11911023,0.107779205,0.15852188
56,0.085383534,0.41282904,-0.48826554,-0.0101617575,-0.73420453,-0.28700238,0.10563719,-0.269494,-0.065987974,-0.010956198,-0.17779018,0.456078,-0.007135272,0.33365992,-0.47694415,0.17597052,-0.35717008,-0.1737231,-0.057896435,-0.25046545,-0.13745189,-0.510762,-0.5905521,-0.095128685,0.0072342753,0.22673017,-0.029315919,0.13002242,-0.3714086,0.24232763
