,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
20,0.08600184,-0.42667413,0.52067363,-0.23341972,-1.3620448,0.18006706,-0.20128882,-0.20277339,-0.31515017,-0.29048905,-0.112926185,0.005273968,-0.049112797,-0.5514995,0.4173281,-0.2762296,-0.4537157,-0.7050487,-0.17623389,0.43214294,-0.18838485,-0.73855424,-0.044944376,0.085217535,0.3152166,0.53611296,-0.014404416,-0.19073603,0.1554307,0.0043632835,0.14308813,-0.2316863,1.1527458,0.51952213,-0.20245942,-0.0054822564,0.32948047,-0.12264769,0.06829512,-0.23566043
21,-0.124972105,-0.20855075,0.27551794,-0.1670481,0.3970185,-0.17696643,0.06805265,0.115238726,-0.16731918,0.058608532,0.0034993738,0.0044846535,-0.054610655,-0.10914886,-0.089387834,-0.14979076,0.2943009,-0.35336065,0.043881536,0.031431258,0.07385841,0.024130166,0.11580616,-0.0029594898,0.19109422,0.46394885,0.061478436,-0.14597017,0.18597138,0.6343376,-0.073961735,-0.20900452,0.4701923,-0.07459736,0.1055364,-0.044890046,-0.7741091,1.2799964,0.028213143,0.026435494
22,-0.18883584,-0.06152985,-0.06030923,0.07667178,-0.31353492,0.013982564,0.026816785,-0.031106055,0.03799829,-0.12353934,0.018155515,0.020252526,-0.16211057,0.67605245,-0.058024704,0.11248183,-0.18995047,0.30337918,0.027918816,-0.1371068,0.26603687,0.2204259,-0.3846063,-0.2728171,-0.44774058,0.2734374,-0.09065643,-0.1382438,0.5744102,-0.13175611,0.064097345,0.1411295,1.1495095,1.7055389,0.6017148,0.546997,-0.28444993,-0.6226053,0.21030027,0.08362889
23,-0.2390415,0.6774132,1.2824261,-0.05099976,-0.015503701,-0.15902907,-0.38405722,0.09086722,-0.7810876,0.77799886,-0.37910017,0.49167126,-0.3116395,0.14672428,-0.20688653,-0.29847652,-0.39418048,0.31779727,-0.2829843,0.000910759,-0.27442256,0.08457246,0.31969357,-0.07156971,-0.06180966,0.22158915,0.25602975,0.35199147,-0.07130249,0.20177764,-0.17244233,0.5068013,-0.13875936,-0.06766909,0.17600226,0.63676345,-0.40247983,-0.32520673,-0.18415682,0.24067181
24,0.009127617,-0.4795971,0.47853935,0.06710231,-0.2210331,-0.16494152,-0.21481252,0.028415818,-0.2279669,-0.121643364,-0.19016919,0.28029034,-0.5479719,0.11345494,-0.4695036,0.03534448,0.3173279,-0.10285619,-0.22745821,-0.015210509,-0.33354566,-0.2865395,-0.5201775,-0.16719735,0.18638486,0.11091074,0.07907748,0.04615426,-0.5003796,-0.06290066,-0.23274082,-0.12930751,0.052361846,0.11869818,-0.08540976,0.06308174,0.30585814,-0.07815878,0.31841433,-0.27311492
25,-0.5531018,-0.72555786,0.1566047,0.014240354,0.17510366,-0.31124508,0.090875566,0.24612534,0.38902974,-0.2880479,-0.059904456,-0.2520633,0.42718077,0.09592427,-0.5955151,-0.27192202,-0.28965497,-0.10860133,-0.15693627,-0.029338911,0.08010578,0.3076635,-0.56010723,0.47380006,-0.22912073,1.0054255,0.230769,-0.17787702,0.031690836,0.76075685,0.21923402,-0.05642712,0.13066906,0.4412073,0.3481951,-0.2764326,-0.2618148,-0.09138465,0.78367496,0.45069826
26,-0.57600844,0.14904037,2.0473733,0.26792866,-0.053717915,-0.050445028,-0.26205087,0.16376537,-0.25193977,-0.21356207,0.02910681,0.37223375,0.1017749,-0.09331386,-0.3732412,-0.29523304,-0.10228634,0.51724154,-0.14073038,-0.15536869,-0.025018573,0.10300401,-0.22349203,-0.0013149977,0.6093972,0.18250617,0.0132088065,0.21383381,-0.82820094,-0.033135116,-0.35748383,-0.09177241,0.08212271,0.23946446,-0.543774,-0.3280186,0.082241446,-0.27980617,0.10717374,-0.04935062
27,0.1153276,-0.29611087,0.5835921,-0.039923236,-0.111235574,-0.046952933,0.15789002,-0.34286898,-0.4440807,-0.13778049,-0.31696784,0.444628,-0.35993296,-0.41377836,-0.1529972,-0.055599168,-0.024709284,0.045953527,-0.4654091,-0.17913237,-0.0038231313,-0.664464,0.21515328,-0.49867386,-0.12204352,-0.032585114,0.07039577,0.2862179,0.7061341,0.5556072,-0.26697856,0.25349492,-0.33065575,-0.32871002,0.30220842,0.016255885,-0.18376413,0.18375733,0.044234127,-0.98489964
28,-0.027763426,-0.13909087,0.29575077,-0.2762792,0.4032724,0.16312335,-0.15028863,-0.0881917,-0.08442244,-0.37780333,-0.5987243,0.27651504,-0.117132425,-0.23803419,-0.08962995,0.042589545,-0.3129362,-0.32196775,-0.29085428,0.38029265,0.042606354,-0.22797939,-0.29869628,-0.03487885,-0.030518651,0.19544764,-0.15929395,-0.45443997,0.20800662,0.16210312,0.14966801,0.049827456,-0.3846181,0.3753701,0.14127454,0.10653055,0.27136168,0.10075631,0.6019294,1.5832704
29,-0.1947401,-0.116700545,-0.169121,-0.11432806,-0.024714395,-0.75030375,0.07787974,0.10990694,0.010326926,-0.097195506,-0.05492407,0.13560817,0.030044347,0.24714464,-0.62482697,0.35183966,-0.4526147,-0.85610604,-0.1272012,-0.13457355,-0.53324234,0.106334224,-0.28349674,-0.15265533,-0.033887148,-0.3285934,-0.15179113,-0.09449643,1.184569,0.15254307,0.5846463,0.32195264,0.39242473,-0.052755848,0.685543,0.022865579,-0.9488513,-0.1800746,0.048225045,-0.031694382
30,0.08719015,-0.11547354,-0.13096766,0.11253703,0.7704809,-0.026486278,0.09077716,0.3532622,-0.10185772,0.22231042,-0.084548056,0.16899174,-0.26925692,-0.044570744,-0.37881315,-0.3225366,0.0017858893,0.7576393,-0.16847225,-0.115490496,-0.19654238,-0.9710237,-0.08190167,0.038922995,-0.015153587,-0.25427687,0.19950946,0.07716417,0.12334509,0.5907744,0.11633268,0.16844743,-0.1903301,0.3084749,0.51614577,0.4933117,-0.041007333,-0.21447694,-0.046337426,-0.15429795
31,0.857148,0.42494217,0.06850201,0.09795737,0.6545475,-0.50247383,-0.3416627,0.12779367,-0.26855993,-0.079483986,-0.31701118,0.32712913,-0.41343847,-0.1491534,-0.07866694,-0.061968684,1.1177886,-0.3524477,0.15054622,0.2510134,-0.65768814,0.03580123,-0.51840115,0.06348932,0.8497303,-0.24037135,0.2537986,-0.056764722,-0.27161655,-0.04673755,-0.23577887,-0.08722979,0.15825036,-0.36045426,0.13600898,0.005440116,0.07508874,-0.4451008,0.17533249,0.0030898452
32,-0.5706923,0.29210064,0.08695988,0.12909317,0.10142213,-0.15001826,-0.036814004,-0.12531495,-0.11095298,0.4025366,0.39749664,-0.38124782,0.114938736,0.15996298,-0.03388707,0.030985594,0.6749735,-0.019178635,-0.25657448,-0.3032266,-0.0757736,0.4803122,0.32167634,0.07040852,-0.1744583,0.21412307,0.21273077,-0.016643643,-0.33332384,-0.353988,0.06922576,0.5856138,0.16516119,0.099137895,0.02214814,-0.7698974,0.57804865,0.12192327,-0.38765705,-0.041051537
33,0.24548867,-0.18984237,0.018845163,-0.37847617,0.021755278,-0.30646184,-0.10851647,-0.31128997,-0.10721123,-0.037895735,-0.266643,-0.527201,0.029738456,-0.01023823,-0.1264119,-0.47008097,-0.35642895,0.01447393,-0.21877785,-1.6257588,0.159004,0.20750974,-0.06936893,-1.3006241,-0.016301692,-0.15132853,-0.35037422,-0.076178774,-0.19470173,0.08253639,0.08077988,0.14460963,0.15905261,-0.45970312,0.18844542,-0.14972176,-0.04764676,-0.28196278,-0.37276837,0.09901798
34,0.049802303,3.3305023,-0.11815712,0.13631499,0.2227037,0.48444906,-0.07437678,0.15812777,-0.048113823,-0.07358609,-0.19067067,0.29685503,0.19447741,-0.034226216,0.19153178,0.51900244,-0.3057269,-0.11285114,-0.12211892,-0.55236644,0.4080991,0.17678131,0.2400071,-0.13737941,-0.22828202,0.10042597,-0.39082217,0.028932452,-0.038122833,0.13138926,-0.059659556,0.28791878,-0.05377473,-1.4095021,-0.12922803,-0.0018481687,0.17946693,-0.09524524,-0.12518555,0.07062884
