,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
10,-0.39449245,-0.6899235,0.1719327,0.67948705,0.5083938,-0.018170714,0.19690543,0.10409346,-0.049724013,0.04112345,-0.43663073,-0.37177265,-0.45275098,0.042802513,-0.46704662,-0.052221894,-0.059712537,-0.7552814,0.24694562,-0.56336063,0.040937737,-0.23232007,-0.43727487,-0.42936704,-0.28216678,-0.73476696,-0.84627515,0.053403974,-0.32469866,0.09486678,-0.2218383,-0.28262568,0.19919753,0.9791142,1.6365371,1.3331419,3.21553,1.2995024,0.676706,3.1627336,2.4911814,1.5915232,-0.04841155,0.21734923,-0.3950298
11,-0.029787317,-0.24934785,-0.035474956,0.07000488,-0.12662286,-0.018237978,-0.13830674,-0.19627476,-0.29515952,0.26815355,-0.4453529,-0.1481722,-0.35620758,-0.098385096,0.09808863,0.8072686,0.25317624,0.8629141,-0.063133106,-0.089169025,0.007959068,0.05043149,0.57075906,0.19249895,-0.032430053,-0.17336735,-0.6808174,0.17950237,-0.06864956,0.029539824,-0.26729688,-0.5357909,1.26337,-0.56264687,-0.1793102,-0.109472826,-0.42705736,0.24347904,-1.1622803,0.041618526,0.15642995,-0.063635826,0.22848277,-0.89995813,0.00038176775
12,-0.13442564,0.3448184,0.10635595,0.047818363,0.09754747,0.50976574,-0.012601376,0.07836491,-0.20941472,0.19032848,-0.28875232,0.18849531,-0.011273265,-0.12154353,-0.24024111,-0.18410885,0.1370188,-0.34631896,-0.058315575,0.3902292,0.16153064,-0.11610752,0.35311446,0.48096192,0.30698457,0.06959611,-0.3432538,-0.031686306,-0.47167063,1.2020577,0.42263788,0.08537151,0.91608465,-0.07718468,0.14078867,0.20712537,0.34526324,0.2468265,-1.0760324,-0.09587073,-0.27334717,-0.5849173,-0.18090174,0.33953092,-0.13232839
13,-0.15580177,0.046457656,0.10977268,0.19560042,-0.016715616,-0.20096552,-0.19536203,0.0075488687,-0.095289454,0.007952094,-0.28907248,-0.29454213,0.2909245,-0.11709713,-0.515444,0.36668023,-0.05489797,0.5125476,-0.2946362,0.35968396,0.38002765,0.102538705,0.882792,-0.23114967,-0.011766821,0.21083033,0.22352445,-0.14397085,0.09534679,-0.18278368,-0.480098,-0.5526547,-0.8086748,-0.3905949,-0.26993722,-0.18556324,-0.73950726,-0.24844669,-0.362086,0.03170809,-0.091775015,-0.1557483,0.44039387,0.2172912,0.121177964
14,0.24734044,0.14763427,-1.1452863,-0.13602117,-0.13902596,-0.16273451,-0.24372017,-0.38533753,-0.6460998,-0.062352777,-0.19101544,0.2113005,-0.00025951862,-0.45338923,-0.09388229,-0.07980299,-0.5192817,-0.4393944,-0.64066106,-0.18919507,-0.36920908,-0.06432068,-0.198552,-0.16826116,-0.024294734,-0.4018515,-0.8311512,-0.26760286,-0.22718292,-0.25810128,0.20741646,0.046290576,-0.030714244,0.657315,0.07106447,0.020536423,-0.06630409,-0.38846868,-0.6252959,0.05480069,-0.18016127,-0.33240777,-0.13666236,0.37172902,0.06092006
15,0.035374016,-0.22473897,0.09842851,0.17757607,0.12066567,0.51504064,-0.06800935,0.30601805,0.15338239,-1.4677348,0.102082595,-0.051406622,-0.24294329,-0.16372009,-0.27543497,0.26527858,1.1406026,-0.2981522,0.53586876,0.42592365,-0.28180793,0.11548275,-0.03816683,-0.30488086,0.510159,0.6215458,0.3893445,-0.36425734,0.011423565,-0.24554445,0.3264473,0.60010445,0.2604245,0.059310608,0.4417925,-0.12562585,2.510362,2.0200024,2.134818,0.5351368,0.31009173,1.1138663,-0.16130629,0.2745011,0.17137653
16,-0.080522716,0.008050337,-0.022476494,-0.04151547,0.11166435,0.579446,-0.072402954,0.5139333,-0.24455428,0.08898568,0.11455035,0.13020843,-0.09508014,-0.063613206,0.27941644,-0.035583973,-0.21715513,0.039588332,-0.2663803,-0.099960804,-0.38751268,-0.20653379,0.28456467,0.50139403,0.3256334,0.11767205,0.04871267,0.001237154,-0.31382683,-0.4399233,0.19151199,-0.10754585,-0.1016587,-0.32554615,0.0087406635,0.12799716,0.14331526,0.19242299,0.26793057,0.30072892,0.21634185,0.09788558,-0.1618604,-0.069500506,-0.056340188
17,0.86999047,-0.15938647,-0.17869787,0.5395734,0.808265,0.06877538,0.35431966,-0.6497692,0.6925374,-0.06815928,0.5324586,-0.48551053,0.9720716,-0.15076184,-0.5616389,0.6247558,0.8751456,-0.2588845,0.10239599,0.33932105,-0.19315869,0.6557143,0.50782037,0.17019391,0.48745427,1.0802772,1.2028272,0.024927974,-0.2169353,-0.2427571,-0.12524796,0.2924686,-0.35352767,-0.6732865,-0.28720915,-0.063569926,-0.36826864,-0.3110835,0.42604274,1.0318197,1.2925478,0.30253142,0.14238137,-0.24956807,-0.20885482
18,0.6157987,0.26902932,0.07400948,-0.6283734,-0.18541259,-0.13314378,0.10392815,0.49616623,0.30901086,0.18152189,0.35035083,0.13045597,-0.20313023,0.52591175,-0.07980651,0.86875343,0.52372134,0.06820607,0.5212122,0.6935199,0.29557043,0.02268067,0.3213409,-0.24083602,0.32454473,0.006968498,0.68840253,-0.015237689,0.06582454,0.52854466,0.5709607,-0.09015289,0.3883921,-0.6554872,-0.043371975,-0.2681706,0.32464582,-0.27427584,-0.17551848,-0.095752716,0.09161878,-0.080896735,-0.18767014,0.08535677,-0.119217806
19,-0.6804974,-0.26367354,0.058740735,-0.105048895,0.0902214,-0.31342846,-0.26542783,0.09948482,0.46883833,0.2580657,-0.1271103,-0.14343727,-0.3360663,-0.39014238,-0.1700232,0.039028883,0.05398874,-0.14496851,-0.0026699044,-0.050662577,-0.25289667,0.20845926,0.55664784,0.08534366,0.15005338,0.21500888,0.30255458,0.6376008,0.083533764,-0.3981974,0.8370647,0.6332278,1.4761126,0.6614144,0.15476137,-0.28870755,1.2734327,-0.13876724,0.74346083,1.2976823,0.09202278,0.074391425,-0.18648708,-0.41249534,0.34610462
