,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
24,-0.12086594,0.052380204,0.81835103,0.0017940998,0.4026442,0.12686455,-0.50776035,0.22197461,-0.21290022,0.38512033,-0.4081966,-0.29968312,-0.12424362,-0.6262111,-0.4425697,0.2293675,-0.5632757,0.026506305,-0.39403582,0.055600703,-0.1851019,0.10079396,0.14649,-0.23998839,-0.2561941,-0.5235885,-0.38050598,-0.15437669,0.26748422,-0.26868835
25,-0.13005733,-0.22725737,-0.13684082,0.08772099,-0.33655113,0.2695046,0.41332144,0.4091696,0.27937406,0.3792246,0.25490487,-0.07781803,-0.2706418,0.30502343,0.07348558,-0.3547356,0.11847963,-0.056263685,0.97212285,-0.39229655,0.51658773,-0.49970996,0.06877741,0.35738176,0.19593793,-0.086616814,-0.85483706,0.28617805,0.12163487,-0.039297104
26,0.27034944,-0.02618295,-0.48930597,-0.25199133,0.16574976,0.2220222,-0.13559943,-0.21815991,-0.8358631,-0.09017429,0.3593419,-0.069738746,-0.31816274,-0.78485364,0.17930755,0.35286158,0.05445662,0.8763199,0.3221994,0.60320467,0.10687238,0.0785507,-0.63048613,0.16320395,0.40542144,-0.045729324,0.1526819,0.4739967,-0.41892216,-0.77628696
27,0.24058527,-0.3707094,-0.17795324,0.30988798,-0.42612886,-0.044273674,-0.15135667,0.14309765,-0.29867053,0.62888825,0.383884,-0.061900347,-0.14547205,0.31953043,-0.07477975,-0.51146203,-0.051202297,-0.20212281,0.32432345,-0.44525233,-0.3148111,-0.32544118,-0.17797771,0.13277853,1.4939439,0.30448985,-0.07057653,0.6550809,0.10512555,-0.23232713
28,-0.17224182,0.21992272,0.1270373,-0.068902954,-0.57171714,0.12818977,-0.7075969,-0.044774085,-0.4380194,0.24655777,0.3885573,-0.027133137,-0.31596857,0.17239484,-0.27815938,-0.0866141,-0.2698021,0.21442753,0.5090317,-0.17996456,-0.064902276,0.11011274,0.5144488,0.7115426,0.13095716,-0.26453578,0.11611968,-0.12445597,0.14158829,-0.5315905
29,-0.21951096,-0.26948857,-0.32759312,0.49597102,0.122455865,-0.21127789,-0.2963122,0.110732384,0.25066543,0.88034487,0.0013884306,0.5724636,-0.62059724,-0.28777587,0.20506722,-0.34936333,0.23531392,-0.29035628,0.56513274,-0.5743411,-0.15579525,0.3661687,-0.1790767,0.4229066,0.20281512,0.18407919,-0.11313016,-0.31878334,0.059007764,-0.2300595
30,-0.19355914,-0.80670035,0.5321642,0.29895282,0.07319343,0.43208063,-0.40780345,0.26904798,-0.59716195,-0.39619756,0.23475797,-0.26118582,0.6102865,-0.057763398,-0.121343404,-0.79640174,-0.34713548,-0.7730258,-0.33806616,-0.08287789,-0.58265936,0.36024255,0.64527136,0.14028996,0.4318952,1.0083127,0.29083833,-0.14577156,-0.23957808,-0.4756218
31,-0.29377484,-0.15758632,-0.29756132,-0.18220484,0.23957771,-0.42141473,-0.12704183,-0.069793165,-0.39017016,1.0490699,-0.3929412,-0.19421819,-0.16883215,-0.23784254,-0.22169593,-0.34150758,-0.45408005,-0.2524847,-0.08884683,-0.11101429,0.016765177,-0.17600614,0.3202508,-0.23638645,-0.70249784,-0.101967454,0.16467634,0.23377699,-0.08092332,0.34121537
32,-0.6110374,0.20822783,-0.23889834,-0.6547248,-0.62428623,-0.22570854,0.22353756,-0.45322907,-0.07422984,0.21683714,-0.3768138,0.036426127,-0.049305737,0.12370995,-0.20796344,-0.0073657148,-0.14948907,-0.21151182,0.19870657,0.3875668,0.27046013,0.035308987,-0.06482318,-0.31730807,-0.6395943,0.20716393,0.05510682,-0.18065147,0.3309632,-0.12232489
33,-0.18870023,-0.032844223,-0.2766896,0.2659471,-0.3369009,-0.140216,0.056893095,-1.4997606,-0.08938235,-0.42554852,-0.3516146,-0.2455346,-0.8747566,-0.6471087,-0.44931328,-0.37813115,-0.10309085,0.07734376,0.40038794,-0.8438688,0.19082227,0.008385003,0.040172905,-0.065182894,-0.68886316,0.02291736,0.9079138,-0.109440774,0.15054989,0.26947376
34,-0.5921577,0.045678064,-0.48219875,0.23950343,-0.108110994,1.0400794,0.462776,0.12747654,0.037230015,0.38062716,-0.7963048,-1.3566229,-0.056480654,0.26453522,-0.80532575,-0.49650544,-0.07955788,0.24580783,0.33901012,-0.045657083,0.35501525,0.9386014,0.36351123,0.22131848,0.37388796,0.76658744,0.5536293,0.04811699,-0.21121497,-0.19216543
35,-0.33091486,-0.080069035,0.07555738,-0.04199356,-0.12096867,0.03497657,-0.30016592,0.25097102,-0.41951984,-0.06591526,-0.23395711,0.12890616,-0.59728646,9.9897385e-05,-0.17157292,0.18341842,-0.0699954,-0.04595065,-0.39926428,0.14163834,0.1366103,0.09835482,-0.2486996,-0.008331239,-0.15044871,0.2756738,0.29249868,0.17738345,0.18188149,-0.10142583
36,-0.43002903,-0.6221531,-0.05485046,-0.36851832,0.0068638623,-0.063700795,-0.35018516,0.005961597,-0.27014494,0.048410177,0.07358593,-0.12133163,-0.422193,-0.35252106,-0.1083312,0.36629713,-0.004324019,0.08545163,0.19724792,0.6713867,0.0023224354,0.6187041,0.16220331,-0.25614583,0.05803752,0.39691454,0.27224794,-0.37865546,0.17777461,0.43748423
37,0.31518948,-0.42301297,-0.110241696,0.41461933,0.05329001,-0.2832702,0.53731936,-0.082128346,-0.15733552,-0.17057067,-0.26773238,0.1125641,0.04725778,-0.8452489,-0.09847118,-0.5291439,0.38477236,0.018995464,0.06396395,-0.07365659,0.0993354,-0.09652591,-0.23013926,0.18409656,0.06710911,0.2399832,2.0681748,-0.37997687,0.0010688938,-0.11568749
38,0.5900728,-0.26507467,-0.39865625,-0.047609806,-0.09077838,0.0049438328,-1.0802908,-0.86690164,-0.58184683,-0.07849383,0.030085422,-0.21487564,-0.0932492,0.03281966,-0.22896741,-0.06652045,-0.08818693,-0.23646921,0.40904024,0.40280306,0.46309108,1.2546146,-0.05505687,0.07127476,1.5387228,0.6486047,0.06748882,-0.10820337,-0.16982955,0.06708827
