,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
24,0.20649278,0.06770241,-0.5035039,2.359106,3.6365306,3.5279052,1.3830755,2.2745845,0.8614194,-0.16422105,-0.023069203,0.010104358,0.023410738,-0.25338584,-0.2206099,-0.2127471,0.04350534,-0.12919182,0.2812953,-0.25688744,-0.4799343,-0.099606335,-0.23313728,-0.47938794,-0.09947002,-0.13670945,0.4158076,0.12854862,0.0052286386,0.29221764,-0.11887896,-0.018862665,-0.0979386,0.53540695,0.45951295,1.0165908
25,0.06430191,-0.14833665,-0.40932506,-0.0007636547,-0.09023246,-0.44658685,-0.21979553,-0.0058718324,-0.45660198,-0.16159293,0.12643377,-0.16814327,0.028812349,-0.17872676,-0.23560023,0.2309075,0.15177694,-0.3876429,0.02938658,-0.06753236,0.056187034,-0.26338774,-0.20894611,0.1641219,-0.06386,-0.20139709,-0.52531934,-0.0411824,-0.31340986,0.51275146,-0.245718,-0.24281883,0.13113368,0.086848855,0.12328016,0.17717361
26,-0.11244106,0.11708468,0.15215605,0.96762764,0.66248256,0.36274242,2.3348956,2.01814,1.2390599,-0.641449,-0.36153066,-0.11289653,-0.26637936,-0.62200344,-0.54353714,-0.5249957,0.003422618,-0.044948526,0.39331502,0.04902011,-0.012883544,-0.34497324,-0.19156706,-0.029230237,-0.07900211,-0.19585437,-0.010544062,0.31600022,0.014680296,-0.36838362,0.17996037,-0.32615334,0.14762014,-0.011072993,0.5483114,0.02360332
27,0.5099984,0.40440208,0.48147148,0.84498096,0.70696837,1.0621418,1.6639531,0.7491329,-0.30851924,1.6049774,0.46893412,0.1304046,4.138016,2.5375948,2.2961905,-0.45719078,-0.14760505,-0.11058688,0.17699626,0.57393247,-0.20283626,0.29376423,0.44265786,0.070674814,-0.037339658,0.2182531,-0.36725202,-0.37705994,-0.061034888,0.2756169,-0.97719336,-0.21071264,-0.65324664,0.48627737,0.4816556,-0.029318959
28,-0.20802635,-0.09222579,-0.24110967,-0.1599803,0.17413947,0.10058069,0.1755631,0.23543562,-0.3581301,-0.17449462,-0.2030153,-0.21533537,-0.016636848,-0.27355283,-0.34370804,0.46709466,-0.26874357,0.01952511,-0.36499774,-0.27161354,0.08808023,0.21349108,-0.2518835,-0.03307079,0.20620358,0.16905558,-0.37254894,-0.2303248,-0.18700904,-0.060524344,0.049630284,0.26863188,0.30038333,-0.21228218,-0.20642349,-0.20179844
29,-0.14901984,-0.2170515,-0.42952412,-0.04071945,-0.021800548,-0.19693565,-0.0068174005,-0.31547472,-0.13267228,0.12139952,-0.43278265,-0.6057287,-0.12636256,-0.16536099,0.24942935,0.13715303,-0.2372481,0.033596992,-0.09031129,-0.37889963,-0.044751823,0.06368643,-0.3054015,-0.067878485,-0.3797704,0.20583993,-0.9074407,0.27044266,0.23137479,0.5132953,-0.59207565,0.3043434,0.018129587,-0.144782,0.13363016,0.38166693
30,-0.0044014454,-0.0033884346,0.23170578,0.077188015,0.16763258,0.46494544,0.15470809,0.1815936,0.04236293,0.18378228,0.13629931,0.08393431,-0.12641644,-0.1196022,0.0077830553,0.021567643,-0.04155937,-0.40210843,-0.12395501,-0.16883744,-0.17563999,0.022013545,-0.14882076,0.16921529,-0.037366927,-0.1612904,-0.09772083,0.084125906,-0.048022985,0.16906321,-0.3478542,0.21191195,0.5191142,-0.05742383,-0.014012314,0.1643591
31,-0.25577244,-0.28353038,0.30881456,-0.31185216,0.4581515,0.5111926,-0.18129075,-0.10851258,-0.19922872,-0.29832077,-0.34563714,-0.24784808,-0.322061,0.18491843,-0.44147414,-0.053731382,0.4126746,-0.039777994,0.08522534,0.39461195,-0.15238592,-0.34006318,0.33596238,-0.0717873,-0.11132467,-0.060244203,-0.30987632,0.7150506,-0.004659325,0.28086352,-0.4654559,-0.15626743,-0.057519764,-0.26491985,0.001401037,-0.17265342
32,-0.23195213,-0.16247085,-1.194111,0.18976235,0.29304528,0.0651024,0.12191862,-0.5022476,-0.16348195,-0.13367945,-0.31961867,0.03737241,0.07757717,-0.25333804,-0.3428285,-0.38247424,-0.022077888,-0.49265882,-0.6797085,-0.60047525,-0.3951801,0.1987564,0.060046755,0.22337504,-0.24490201,0.41340238,0.025402129,-0.03285435,0.07941969,0.8998924,0.08130568,0.1667681,-0.29750025,-0.17125171,-0.4879616,0.04161662
33,-0.26452664,0.2524324,0.08599037,0.06913173,0.46911824,-0.20191991,-0.13040549,0.09596184,-0.31578535,0.03575343,0.2590489,-0.2174713,-0.3203532,-0.0066201985,-0.65318495,0.18637806,-0.13101348,-0.20176613,0.008935332,0.43804124,-0.024226248,-0.08627331,0.17592111,-0.32190514,-0.11690962,0.23383898,-0.42808717,-0.19768664,-0.12466517,0.148108,-0.04113722,-0.122463524,-0.23221254,0.12412393,0.2443109,0.14400208
34,0.33256018,0.33836514,0.7396672,-0.16922104,-0.08195987,-0.15865624,-0.14005685,0.1636765,-0.31485492,1.5390224,0.89769137,1.12196,1.0563717,0.4046224,0.27387446,0.43981862,0.63116014,-0.0019723475,-0.040917695,0.13237748,0.1457594,0.3898576,0.43116584,0.12615067,0.70616627,-0.19476418,0.33690512,-0.032764137,-0.43678916,0.32236207,-0.29968238,-0.14522743,-0.04050803,0.14854324,-0.09525132,0.70592576
35,0.2911941,0.43884987,0.05834107,0.026832044,-0.07091771,0.60142946,0.06647074,-0.33436328,-0.26308876,-0.29971346,0.17710479,-0.15458363,-0.33592808,-0.3115999,-0.74726963,0.35971248,-0.038165867,-0.13020498,-0.28761482,0.28166622,-0.28122306,0.03639257,-0.1283567,0.40672493,-0.2622106,-0.2524761,-0.059976578,0.06627798,0.28938586,0.28192067,-0.24028361,-0.57092166,2.5577548,-0.5607945,-0.24535736,-0.025069833
36,0.1792522,0.0894619,-0.82329094,-0.042205036,0.3143026,0.27369067,0.07712078,-0.6259024,0.35494572,-0.730978,0.26303434,0.11820173,0.18298686,-0.11234115,0.6629479,0.11398834,0.10658139,-0.82503283,-0.04925096,-0.18762761,0.61310697,-0.37241977,0.7219574,-0.42362782,-0.9526099,-0.1813842,-0.34505713,-0.052925333,0.6111579,0.6152006,-0.08663583,-0.20740625,-0.54359704,0.5009397,-0.18395832,0.09980321
37,0.26219594,0.18298642,-0.021143824,0.06791824,-0.5154637,0.34223354,-0.316992,-0.5395843,-0.41505048,0.035721064,0.11765942,-0.13004602,-0.38404936,-0.3179955,-0.3429519,0.7432384,-0.27666974,0.76103663,0.23921722,0.4851773,-0.09305851,1.678243,0.4083661,-0.13295528,2.8266907,1.2359916,0.76389956,1.791494,1.2691451,-0.18809745,0.57112134,1.1600137,1.9969662,-0.6979679,0.05701989,-0.25398347
38,0.039072126,-0.23663566,-1.3950735,-0.059750617,0.06144613,0.025325537,-0.25949365,0.027249426,-0.43780583,2.019727,3.4937499,3.2971265,1.2612268,3.4236639,1.6120181,-0.19359778,-0.027571902,-0.17166436,-0.037119538,0.0111671835,-0.057395548,0.049110025,-0.112107545,-0.029022336,-0.08102363,-0.13204256,-0.10036349,-0.30973953,-0.3552307,0.5140782,-0.15835588,0.036335826,0.111285806,-0.098742455,-0.13833132,-0.03401795
39,0.50962114,0.42909926,0.842276,0.64332,0.90579116,1.0447589,0.62108314,0.44140244,2.7906575,0.3535273,0.50765777,0.7353077,0.871754,1.1236937,0.7824947,-0.19114774,-0.09630409,0.105051756,0.20672596,0.13020605,-0.035521388,-0.035562962,-0.000618279,-0.024133712,-0.03262371,-0.14485309,-0.098120704,0.14485094,0.13960457,-0.42857182,-0.1661104,-0.0790537,0.040777087,0.8533075,1.4487371,1.6998854
40,0.109095216,0.062773705,0.15137506,0.095626175,0.17229587,0.08104767,0.20470607,0.31206205,-0.024214387,-0.07248676,0.0070055425,-0.23275632,0.090655625,-0.21612698,-0.056262016,0.044309437,-0.21154135,-0.24740863,0.06552732,-0.3150398,-0.30513835,0.12097001,0.21295059,-0.42221397,0.052034736,0.21576402,-0.034662664,-0.106978536,-0.07464349,-0.21818706,0.18612844,0.12521061,0.27208054,0.043375134,0.39963138,0.91340995
