,2h(-7),2h(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,air,air
62,-0.03752631,-0.36327016,-0.017570496,0.031144857,-0.121599376,-0.0090397,0.02767229,0.10601263,-0.05041939,-0.20135832,0.0057582557,-0.16499206,0.019825816,-0.028378755,-0.018132865,0.051941156,-0.031110227,-0.037221372,-0.0027901828,-0.09175503,-0.026877731,0.084217966
63,-0.27570593,0.11528778,0.041025072,0.64270127,0.49422646,0.2070114,-0.025750428,-0.19663729,0.26118845,-0.033923745,-0.12539633,-0.13969612,-0.0045768023,0.11154151,-0.2374183,-0.17752783,0.052791595,-0.56769997,0.20600802,-0.021273077,-0.009812534,-0.2752657
64,0.16630065,-0.13080072,-0.026521295,0.14216974,0.107421696,0.15015805,0.19840348,0.29026848,-0.071460396,0.1082837,0.19272745,-0.08346903,0.01449123,0.21274956,-0.15360874,-0.11112383,-0.06714338,0.0952577,-0.0025060475,0.09040594,-0.112764895,0.020864025
65,0.0074926615,-0.5539863,-0.15521753,-0.20938247,-0.082215756,-0.06580666,-0.00019028783,0.18155967,-0.10008651,0.027161837,-0.10702062,-0.03661564,-0.15433297,0.034266204,-0.020027488,0.90764785,0.13015947,-0.16027889,0.21841784,0.11698723,0.13091949,-0.1609402
66,-0.0035754442,-0.50520647,0.3959843,-0.18313864,0.093491614,0.0150155425,-0.032933295,0.372867,0.031859994,0.3624931,-0.08373496,-0.49738812,0.20427328,-0.14369392,0.23405111,0.5573436,-0.33671516,0.27466092,0.053230405,0.02801454,0.28991783,-0.022484884
67,0.14105082,-0.44516158,0.3044877,0.17379469,-0.0015574545,-0.0055994987,-0.091324896,0.097617,-0.31271935,-0.663787,-0.169985,-0.06322539,-0.14542791,0.115538955,0.36131012,0.4459765,0.017594576,0.14001516,0.17718321,0.14302981,-0.1843063,0.01417923
68,0.27701503,-0.047863364,0.07464576,-0.05326008,0.044718623,-0.012637138,-0.120575845,0.086690426,-0.24950576,-0.17573667,-0.07227683,-0.031756222,-0.18828022,0.07390034,0.16854179,0.075568914,0.26303768,0.10706878,0.034406066,0.033586144,-0.16782296,0.27108836
69,0.058581054,-0.10692456,0.04221928,1.4607322,0.104260504,0.042782575,0.22285539,-0.06341249,0.0641202,-0.1032024,-0.044808418,0.17533326,0.021188498,-0.43582892,-0.0050411224,0.047658205,-0.03390807,-0.23905693,0.049230725,0.054646432,0.054562032,0.304291
70,0.29749388,-0.018145874,0.097934335,1.1365567,0.13145173,0.13425481,0.6016096,0.5124581,-0.37622154,-0.11355713,-0.08728027,-0.51904404,0.35076383,0.5905287,0.075703025,0.22513013,-0.28172025,0.12070747,0.2673914,-0.0990926,-0.6032257,0.4453467
71,0.14565164,-0.19506389,0.029371977,0.041233063,-0.14305091,-0.07741523,-0.051582694,-0.07780826,0.090883255,-0.34251612,0.021413565,-0.07478408,-0.089331925,0.29164678,0.004471779,-0.34347856,0.06946698,-0.025836706,0.050753415,-0.051405698,0.25174743,0.25498646
72,0.47489434,-0.41114056,0.013956904,1.4244316,-0.23482993,-0.15013209,-0.3102225,0.0073845387,-0.2548953,0.16688544,-0.14265788,-0.9880018,-0.39972812,0.19082585,0.029395968,0.11397767,0.6988306,-0.2738371,0.31941062,-0.21031761,1.1793029,-0.29647374
