,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
14,-0.19029486,-0.027500153,-0.34444517,-0.22142577,-0.21880722,-0.24854608,-0.24037364,-0.012044609,-0.33157337,0.07036576,0.34222025,0.047523677,0.17338943,-0.04874289,0.3541432,-0.22055042,-0.36605772,-0.34705424,-0.9015113,-0.31708735,-0.23844054,-0.56945765,-0.6654774,-0.73271996,0.47279796,0.030072689,0.23194098,-0.15597469,-0.10853022,-0.26526362,-0.07299036,0.015856668,-0.18449542,-0.2998645,0.048957705,-0.7635772,0.8611637,-0.61741644,-0.9869742,1.1318004,1.1312538,1.490283,-0.4050278,0.06211123,-0.10838008
15,0.829234,0.9621448,0.052865222,-0.017106533,0.10425701,-0.10314077,0.1241889,0.095700875,0.09568517,0.09927918,1.5885677,0.17508224,0.40332222,1.5943117,1.5919158,-0.6693807,-0.13698114,-0.039150894,-0.11843088,-0.1425206,0.35791183,0.0768047,-0.26218987,-0.4439003,1.2986375,0.38341704,0.087378204,0.4616074,0.17790374,-0.071938485,-0.27949607,0.20654884,0.17722188,0.10279471,0.5531521,0.111974,2.8663588,1.8937286,1.5112063,-0.0037198067,-0.23938659,-0.8111245,-0.011478901,-0.23402853,-0.27998984
16,-0.35901123,0.08767745,-0.19101733,0.15818048,-0.15448695,-0.2634157,-0.4387641,-0.17492133,-0.1723687,2.611894,4.095927,1.8070575,1.0439074,2.300581,1.5874677,-0.3595063,-0.5946427,0.101963684,-0.04821092,-0.08252561,-0.19874614,-0.11231387,-0.22959882,-0.4133326,-0.12868723,0.18547374,0.11360645,0.33242774,0.025481343,-0.056620836,-0.056519628,-0.483441,-0.30504578,1.6677928,0.59844613,0.94755423,1.01714,0.48974866,0.47453845,-0.20886326,0.07227236,-0.3113522,-0.23094612,0.09055838,0.06930101
17,0.48470682,0.6169327,-0.52900606,-0.024444282,0.28997496,0.10833504,0.49742687,0.3569103,0.100676596,-0.014074113,-0.28529054,-0.69867593,-0.64506763,0.23155673,0.6285905,-0.57636726,-0.687142,-0.27513003,-0.67943895,-1.1906291,0.29286736,-0.15719292,-0.6412642,0.18145788,-0.21172124,-0.42241758,-0.5674813,-0.07334596,-0.9758308,-0.25317597,-0.43852663,-0.014922254,-0.90476537,-0.26557457,0.31734017,0.03757728,-0.018470436,-0.45763773,-0.6690422,-0.054222167,-0.30495045,-0.47835183,0.33223963,-0.10688779,-0.5147851
18,-0.1423084,0.5667448,-0.5011134,0.018588185,0.38485736,0.68675613,0.5094463,0.1549043,0.6440889,0.32067186,0.17413259,0.18172713,0.16261175,0.45552278,-0.39185593,0.14474922,-0.32502818,0.6259108,-0.31748182,-0.8180938,-0.78468,-0.036967516,-0.08953208,-0.13616541,0.2889618,0.06767863,0.6628467,0.5492049,0.37892693,-1.0654036,-0.037980556,0.42858985,-0.99488926,0.48689628,0.11255202,0.31607735,0.29666656,-0.5552282,-0.41021925,0.19618922,0.085204124,-0.6824195,-0.4188562,0.26784214,0.1545291
19,0.112299144,0.4184847,-0.08259477,-0.0045335293,0.12110525,0.17925492,0.27707502,0.38103825,-0.29150438,0.13250017,0.26939023,0.035621285,-0.053652346,0.15833475,-0.345067,0.08432466,-0.3500234,-0.16307545,-0.106114805,-0.05280325,-0.18746608,-0.83920807,-0.26828843,-0.083538055,-0.07221073,-0.011184305,-0.16374165,0.025304034,0.1241277,0.74640155,-0.18095154,-0.09559217,-0.05837643,0.33882666,-0.03934163,-0.09469819,-0.5767876,-0.6215637,-0.99751365,0.03550619,-0.45664114,0.05558476,-0.2303181,0.16840813,-1.8305993
20,-0.088979006,0.24810004,-0.16823006,-0.34899,-0.09367001,-0.07910174,-0.267705,-0.99409187,0.04093182,-0.40454587,-0.07823819,-0.016388625,-0.31805664,-0.1782667,-0.3324872,0.3491583,0.17160106,0.435691,-0.2602639,-0.14187896,0.13991082,0.28073978,-0.04683107,0.64059794,0.7818656,0.7891966,0.9490838,1.071812,1.5843025,0.16702953,2.1396785,1.8305292,1.947864,0.08654845,-0.06481224,-0.36867857,-0.18161994,-0.48863512,-0.41259348,0.5347312,0.50314796,0.56751156,-0.42388713,0.023174286,0.5665549
21,0.11502808,-0.0121928435,-0.48883194,0.1754098,-0.25172904,-0.07528612,0.019482106,0.055856287,-0.06296176,-0.47231486,-0.56908715,-0.34867454,-0.4565274,-0.32410914,0.203951,-0.3985038,-0.20628363,-0.25593802,-0.65432775,-0.45602745,0.116039515,-0.5847947,-0.8798356,0.53796196,-0.27045515,0.020357847,-0.77155584,-0.29037496,-0.70079654,-0.50573575,-0.34609273,0.061778188,0.037122443,-0.073557496,-0.19379772,0.085274376,-0.3019188,-0.82676625,-0.69353545,0.34980595,-0.68848825,-0.43136874,-0.1665304,-0.28143907,-0.5439342
22,-0.3357244,0.43439403,-0.40853685,-0.52733594,-0.71403253,-0.12494224,-0.12996447,1.5518994,-0.42446518,-0.062980294,-0.13596655,-0.12260282,-0.44556716,0.5601263,-0.46041524,-0.43187228,0.14913227,-0.29314637,-0.117287844,0.3234796,-0.074446976,-0.47750312,-0.88066083,-0.36524978,0.5174792,0.24205936,-0.17004585,-0.35531253,0.4440254,0.11285707,0.20371173,-0.25492692,0.6528578,0.4935062,0.4410013,1.078511,-0.40060538,-0.5581221,-0.036771,-0.56571645,-0.059300788,0.2663267,-0.13908553,-0.45357937,0.15501368
23,-0.18103054,-0.20159698,0.037685208,0.09886682,-0.12399721,-0.10583027,-0.17848387,-0.008229494,-0.26661658,1.6940504,1.3595141,1.0308237,1.2158337,1.9086136,2.6710331,-0.6738096,-0.35418263,0.25546736,-0.48624176,-0.025594294,-0.056452632,-0.38167924,-0.14682204,-0.21509895,-0.5821432,-0.13053495,-0.111021996,0.3342768,0.29091072,0.14949262,-2.0623207e-05,-0.9838835,-0.10480583,0.7184394,1.0925757,1.0498599,1.267666,0.5724796,0.9383851,-0.44281554,0.2341547,-1.0338647,-0.16383779,0.25920537,-0.10027754
