,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
26,0.064305946,0.16539472,0.50151086,0.81480426,0.12076366,0.25508368,0.16084135,0.12473603,0.15720946,0.2710601,0.596745,0.47444594,0.40193665,-0.0023481846,-0.0040113926,0.06952608,0.20388651,0.018741608,0.25815374,-0.11994877,-0.06869614,0.116898775,0.397947,0.07585025,0.27042133,0.1194334,0.44493914,0.30853474,0.05249548,0.37847322,0.0043367743,0.6568827,0.33454347,0.11067021,0.23788092,0.18458344,-0.020296812,-0.13896808,-0.24741173,0.34736687,0.25458682,-0.45923686,-0.12469345,0.007568009,0.15150356,0.2688263,-0.053690657,0.16380411
27,0.060819983,-0.63591254,0.32442015,-0.17247447,0.08148539,-0.028652191,-0.75011325,-0.019988298,0.07130444,0.34029317,-0.23560345,-0.09789419,0.10706812,-0.53109926,-0.24691474,-0.047732353,-0.0756551,-0.09020457,0.33233815,0.09583396,-0.07565981,-0.133335,0.29175377,-0.038605317,0.045426726,-0.40297896,0.10019741,0.1957871,0.039120078,-1.1870841,0.15444566,0.20396343,0.019781828,-0.6091161,-0.26765537,0.2239104,0.017842293,0.92001534,0.24604422,0.9249784,0.07893264,-0.055800863,0.3331316,0.5408653,0.08375406,0.70055723,0.12954879,-0.5887731
28,0.28224826,0.054065645,-0.16694957,0.25551102,-0.02317208,-0.25015566,0.2539962,-0.35270756,0.994666,-0.27262217,0.45644835,0.4583878,-0.053874254,1.7156854,3.3559484,1.6353803,0.24064475,1.0192592,1.3998538,2.0202081,1.3925655,0.47001183,0.44538736,0.3096929,0.12025708,0.67001706,0.2669727,0.14723873,0.30234087,0.4531818,0.62503076,0.14792603,3.084799,1.2882394,0.735858,0.78257734,0.52812546,0.03435737,0.37699547,-0.112296045,3.5429528,2.246634,0.7097001,0.83685786,0.18857771,0.18724474,-0.045042813,-0.42538673
29,0.13724244,0.10130265,-0.036861062,-0.10574818,-0.22699356,0.12100561,0.2935619,0.08627328,0.19491994,0.11446661,0.43131983,0.017313927,-0.26025218,-0.735322,-0.34669107,-0.0007289648,-0.41400027,-0.25322044,0.20510279,-0.024315804,-0.13111132,0.033047143,-0.19657248,0.47876382,1.6628547,-0.048044324,0.93455136,0.7570025,0.66442037,0.63369673,0.64646673,0.41031379,0.6931797,1.5114105,1.4529214,1.614386,0.12532192,0.18847463,0.012692928,-0.22727782,-0.3274076,0.017938912,-0.18069398,0.19843267,0.14510763,0.041142076,0.14311236,0.50477755
30,0.31886685,0.62424856,0.34424576,0.5778247,-0.12236756,0.34119183,-0.6254846,0.46614087,0.048205793,-0.06374548,-0.3940242,0.3254539,0.30113745,0.32819596,-0.26597202,0.4796691,-0.5901234,0.20415765,-0.1791681,0.13655388,-0.41718745,0.65408,0.38802424,0.56014526,0.11621678,0.81509584,0.20692474,-0.072450355,-0.05079049,-0.31244823,0.56987166,0.17853492,2.072352,0.33756888,0.6879072,0.24870616,0.98077834,2.3181272,0.34729296,0.8402382,1.9603258,3.0924835,1.7288271,1.7955086,-0.10491991,0.36755115,-0.076310836,0.20319298
31,0.7808948,0.24918604,0.04900962,0.51324487,-0.18319267,0.0041351914,-0.010477841,0.1264295,0.819054,0.088747025,0.58778167,0.038620114,0.114810415,-0.24229455,-0.49294788,0.19641316,-0.60911906,-0.504133,-0.049067914,0.043026328,-0.5585792,-0.32163766,0.15111393,0.3861332,-0.25337946,-0.036979675,0.08518875,0.32994318,0.30108428,0.030634373,0.17096984,0.11138058,0.0033575594,0.05014962,0.15684777,-0.0893451,0.12564111,-0.24404627,-0.13258356,-0.13689804,-0.1736784,-0.07456088,-0.13565534,0.28386024,0.42172816,-0.20741898,-0.13570726,0.22735429
32,0.5991859,0.634314,-0.12277175,0.9173006,0.618418,-0.13945371,-0.21432978,-0.07239708,-0.04412812,-0.09491825,0.040890932,0.2509622,2.559348,0.24411666,0.15799691,0.6190982,1.63294,0.62243587,0.6239162,1.1336163,0.06150281,-0.8876889,-0.38774472,-0.2634167,0.089612246,-0.62891,0.5988563,-0.32608533,0.6966181,0.298798,-0.20753103,0.46267265,-0.031844616,-0.15407968,0.59707916,-0.4156835,-0.3317299,-0.9782441,-0.1095286,-0.17732391,-0.6287199,-0.5129403,0.13298477,-0.58836645,-0.5664648,-0.40427804,0.032146588,0.486611
33,0.40085244,1.2340984,0.8872576,0.3042135,-0.11142385,-0.5462166,0.03928995,0.10233176,0.32571042,0.67714584,0.30755287,-0.057563722,0.2004109,-0.016939849,0.27394146,-0.19269279,0.91142654,0.42702103,0.16947207,0.006265983,-0.20234913,-0.57483196,-0.11034511,-0.16189724,0.0399065,0.5079839,0.11282164,0.23978278,0.078775704,-0.04669285,-0.15283841,0.17483288,-0.055987477,-0.11131027,-0.18637663,-0.26513806,0.16518939,-0.3764851,0.014232457,0.060587466,-0.07157767,0.025874972,-0.33848482,-0.32984468,0.10073525,-0.069621205,0.24217455,-0.14753228
34,-0.033493817,-0.16439104,-0.017862603,0.19083497,-0.11437434,0.018265307,-0.009506747,-0.02760799,-0.12277609,-0.009947807,-0.15699664,-0.04392454,-0.015534252,-0.01639703,-1.0137044,-0.056487255,-0.03230989,-0.044696182,-0.1738416,0.025901295,0.41417363,-0.1462976,-0.035296515,-0.00928399,0.19533807,0.25381434,-0.08060095,0.27628955,0.118775696,-0.13879919,-0.4467918,-0.076569684,0.1324408,0.35926273,0.10265103,-0.059181377,0.1558522,-0.32462624,-0.3924284,0.19837141,-0.16493034,-0.3122687,0.033590287,-0.08121753,-0.13699305,-0.17931369,0.09670937,-0.08444503
35,-0.12268424,0.22032094,0.1848049,0.4211284,-0.059217513,-0.053239763,0.13800898,0.10412645,0.5608965,0.4242214,0.8164409,0.26593626,0.035020053,-0.18855861,-0.084022574,-0.20592266,-0.15538561,-0.20786294,-0.742387,-0.60116005,0.047076285,-0.76826704,0.20250282,1.0483744,-1.7341857,-0.21706578,-0.16754961,0.23613562,-0.24686304,-0.19691712,-0.5010895,-0.0758618,-0.09600258,-0.28876698,-0.18077335,-0.1741578,-0.0007839203,-0.18149972,-0.087590165,-0.123018295,-0.058067918,-0.07959176,-0.17936966,-0.5450262,-0.3923767,-0.20610014,0.25669938,-0.013188839
