bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post,instance_pre,type_pre,instance_post,type_post,connector_id,node_id,type,x,y,z,roi,confidence,anatomical_claw,color,dist_to_root
425790257,1727979406,CA(R),CA(R),11994,14035,9401,12004,14039,9426,0.974,0.995708,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,38037.0,16010.0,pre,11994.0,14035.0,9401.0,CA(R),0.974,468.0,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",14699.84741306305
425790257,1727979406,CA(R),CA(R),13562,14842,9449,13574,14833,9461,0.972,0.997929,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,27263.0,10286.0,pre,13562.0,14842.0,9449.0,CA(R),0.972,497.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",13983.62047958374
425790257,1727979406,CA(R),CA(R),13298,14637,9334,13308,14603,9327,0.999,0.448226,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,37249.0,10291.0,pre,13298.0,14637.0,9334.0,CA(R),0.999,497.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",14414.875343322754
425790257,1727979406,CA(R),CA(R),13524,14655,9321,13507,14642,9298,0.97,0.737231,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,37247.0,10279.0,pre,13524.0,14655.0,9321.0,CA(R),0.97,499.0,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)",14084.020553588867
425790257,1727979406,CA(R),CA(R),14667,14621,11977,14681,14621,11985,0.987,0.966244,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,13454.0,7581.0,pre,14667.0,14621.0,11977.0,CA(R),0.987,377.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",8402.904133796692
425790257,1727979406,CA(R),CA(R),14546,12249,12141,14576,12230,12141,0.977,0.598261,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,14566.0,21095.0,pre,14546.0,12249.0,12141.0,CA(R),0.977,345.0,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)",12113.767302036285
425790257,1727979406,CA(R),CA(R),14837,12231,12094,14826,12229,12085,0.969,0.991101,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,14568.0,19102.0,pre,14837.0,12231.0,12094.0,CA(R),0.969,370.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",10724.927047729492
425790257,1727979406,CA(R),CA(R),14811,12517,12278,14826,12492,12277,0.975,0.516742,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,10259.0,19069.0,pre,14811.0,12517.0,12278.0,CA(R),0.975,382.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",9933.24515914917
425790257,1727979406,CA(R),CA(R),14909,12070,12235,14892,12071,12232,0.948,0.974386,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,14435.0,18987.0,pre,14909.0,12070.0,12235.0,CA(R),0.948,384.0,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",10961.32935333252
425790257,1727979406,CA(R),CA(R),14570,14575,12047,14585,14572,12070,0.988,0.878746,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,13451.0,7573.0,pre,14570.0,14575.0,12047.0,CA(R),0.988,377.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",8135.92218875885
425790257,1727979406,CA(R),CA(R),12872,15330,12235,12872,15330,12256,0.823,0.980749,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,30281.0,179795.0,pre,12872.0,15330.0,12235.0,CA(R),0.823,215.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",14793.885238647461
425790257,1727979406,CA(R),CA(R),12767,15393,12211,12779,15393,12229,0.984,0.992874,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,29842.0,179795.0,pre,12767.0,15393.0,12211.0,CA(R),0.984,215.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",14793.885238647461
425790257,1727979406,CA(R),CA(R),14140,12665,13387,14118,12672,13379,0.988,0.99814,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,59358.0,36187.0,pre,14140.0,12665.0,13387.0,CA(R),0.988,11.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",16853.199897766113
425790257,1727979406,CA(R),CA(R),13847,12327,13501,13859,12330,13509,0.993,0.851072,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,10861.0,37402.0,pre,13847.0,12327.0,13501.0,CA(R),0.993,6.0,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)",17212.46406173706
425790257,1727979406,CA(R),CA(R),15587,14220,14380,15597,14192,14358,0.953,0.577841,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,9828.0,169396.0,pre,15587.0,14220.0,14380.0,CA(R),0.953,75.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",18775.419286727905
425790257,1727979406,CA(R),CA(R),12396,14242,13025,12408,14255,13030,0.988,0.993395,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,5791.0,179076.0,pre,12396.0,14242.0,13025.0,CA(R),0.988,202.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",14886.34589958191
425790257,1727979406,CA(R),CA(R),14436,13213,12862,14445,13204,12833,0.963,0.654556,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,7282.0,19199.0,pre,14436.0,13213.0,12862.0,CA(R),0.963,387.0,"(1.0, 0.596078431372549, 0.5882352941176471)",9868.815556526184
425790257,1727979406,CA(R),CA(R),14069,13057,13040,14084,13043,13029,0.993,0.982758,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,7452.0,22803.0,pre,14069.0,13057.0,13040.0,CA(R),0.993,122.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",10084.76798248291
425790257,1727979406,CA(R),CA(R),14494,13109,12841,14488,13111,12826,0.964,0.996533,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,7453.0,19197.0,pre,14494.0,13109.0,12841.0,CA(R),0.964,387.0,"(1.0, 0.596078431372549, 0.5882352941176471)",9803.41614151001
425790257,1727979406,CA(R),CA(R),12873,14894,13013,12852,14907,13009,0.985,0.992239,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,6826.0,178489.0,pre,12873.0,14894.0,13013.0,CA(R),0.985,221.0,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)",13788.896753311157
425790257,1727979406,CA(R),CA(R),12765,14980,13005,12751,14989,12988,0.98,0.89682,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,18810.0,178488.0,pre,12765.0,14980.0,13005.0,CA(R),0.98,221.0,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)",13644.679788589478
425790257,1727979406,CA(R),CA(R),12697,15030,13011,12698,15032,13000,0.979,0.930103,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,6829.0,178487.0,pre,12697.0,15030.0,13011.0,CA(R),0.979,221.0,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)",13587.185869216919
425790257,1727979406,CA(R),CA(R),12455,14804,13016,12466,14815,13004,0.981,0.990149,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,48289.0,179552.0,pre,12455.0,14804.0,13016.0,CA(R),0.981,218.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",14981.891328811646
425790257,1727979406,CA(R),CA(R),12443,14409,12852,12450,14409,12862,0.977,0.850249,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,7030.0,179500.0,pre,12443.0,14409.0,12852.0,CA(R),0.977,216.0,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)",15288.563695907593
425790257,1727979406,CA(R),CA(R),12488,14546,12868,12476,14545,12880,0.993,0.994497,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,5796.0,179492.0,pre,12488.0,14546.0,12868.0,CA(R),0.993,216.0,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)",15085.168462753296
425790257,1727979406,CA(R),CA(R),12413,14608,13053,12428,14593,13047,0.989,0.872304,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,70337.0,179549.0,pre,12413.0,14608.0,13053.0,CA(R),0.989,218.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",14963.713621139526
425790257,1727979406,CA(R),CA(R),12478,14721,13001,12484,14705,12975,0.974,0.835827,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,6940.0,179528.0,pre,12478.0,14721.0,13001.0,CA(R),0.974,218.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",14838.831438064575
425790257,1727979406,CA(R),CA(R),12806,15123,12968,12800,15128,12958,0.998,0.726384,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,85659.0,178486.0,pre,12806.0,15123.0,12968.0,CA(R),0.998,221.0,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)",13477.929117202759
425790257,1727979406,CA(R),CA(R),11442,13718,9661,11440,13694,9678,0.958,0.66101,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,34140.0,14820.0,pre,11442.0,13718.0,9661.0,CA(R),0.958,453.0,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)",14841.081574440002
