fly_id,odor,glomerulus,delta_f_over_f,to-avg-max_scaled_delta_f_over_f (X_train),hallem_delta_spike_rate (y_train),date,fly_num
1,pa @ -3,DM4,0.35980926537544206,0.4146289777335894,65,2023-04-22,2
1,2-but @ -3,DM4,0.3811395994452895,0.43920915245718467,144,2023-04-22,2
1,eb @ -3,DM4,0.5461278557006238,0.6293346400757862,39,2023-04-22,2
1,ep @ -3,DM4,0.5107723948379242,0.5885925024893494,99,2023-04-22,2
1,B-cit @ -3,DM4,0.07912100247725694,0.09117569649066887,-2,2023-04-22,2
1,Lin @ -3,DM4,-0.024308241249238263,-0.028011788993694556,-8,2023-04-22,2
1,6al @ -3,DM4,0.2458875926351559,0.283350460876282,17,2023-04-22,2
1,t2h @ -3,DM4,0.22869359288606173,0.26353682285981894,3,2023-04-22,2
1,1-8ol @ -3,DM4,0.11534183868255232,0.1329150560171299,-7,2023-04-22,2
1,1-5ol @ -3,DM4,0.5149483671371047,0.5934047163261617,55,2023-04-22,2
1,1-6ol @ -3,DM4,0.31896279395795357,0.367559231849793,35,2023-04-22,2
1,benz @ -3,DM4,0.20614281733604256,0.2375502629983111,6,2023-04-22,2
1,ms @ -3,DM5,-0.06996161042591909,-0.08062080052670689,2,2023-04-22,2
1,ms @ -3,DM5,-0.19247999471349098,-0.22180580413610593,2,2023-04-22,2
1,a-terp @ -3,DM5,-0.011444122718813796,-0.013187722942621515,-12,2023-04-22,2
1,carene @ -3,DM5,-0.06248354452418467,-0.07200339369860531,8,2023-04-22,2
1,2h @ -3,DM5,-0.03548722149116726,-0.040893972961298895,33,2023-04-22,2
1,IaA @ -3,DM5,-0.03480771344498863,-0.0401109366316068,-16,2023-04-22,2
1,pa @ -3,DM5,0.11759726414461091,0.1355141129166566,30,2023-04-22,2
1,2-but @ -3,DM5,-0.13297514234364022,-0.15323492927952048,1,2023-04-22,2
1,eb @ -3,DM5,0.7540028361051464,0.8688809745249043,125,2023-04-22,2
1,ep @ -3,DM5,0.6002925296191891,0.691751719170995,44,2023-04-22,2
1,B-cit @ -3,DM5,0.17069926601418747,0.19670661369290937,8,2023-04-22,2
1,Lin @ -3,DM5,0.022522885001201698,0.025954419972801627,-16,2023-04-22,2
1,6al @ -3,DM5,-0.12337278013872481,-0.14216957324790933,20,2023-04-22,2
1,t2h @ -3,DM5,-0.19497435600263835,-0.22468020057594815,11,2023-04-22,2
1,1-8ol @ -3,DM5,0.6656459655901438,0.7670622543784188,4,2023-04-22,2
1,1-5ol @ -3,DM5,-0.18181569807377776,-0.20951671978093178,47,2023-04-22,2
1,1-6ol @ -3,DM5,0.7105535810128485,0.8188118908302213,137,2023-04-22,2
1,benz @ -3,DM5,-0.30125239072937665,-0.3471505123070869,7,2023-04-22,2
1,ms @ -3,DM6,0.08929570081060645,0.10290058846726194,35,2023-04-22,2
1,ms @ -3,DM6,0.0903821885969865,0.10415261103459836,35,2023-04-22,2
