row_olfactometer_name	row_olfactometer_abbrev	row_cid	row_CanonicalSMILES	row_IsomericSMILES	row_InChI	row_InChIKey	row_IUPACName	col_olfactometer_name	col_olfactometer_abbrev	col_cid	col_CanonicalSMILES	col_IsomericSMILES	col_InChI	col_InChIKey	col_IUPACName	maccs	ecfp	fcfp	topological	atompair	rdkit	pattern	layered	erg	estate	avalon-count	ecfp-count	fcfp-count	atompair-count
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	2-butanone	2-but	6569	CCC(=O)C	CCC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	ZWEHNKRNPOVVGH-UHFFFAOYSA-N	butan-2-one	0.7391304347826086	0.8181818181818182	0.7857142857142857	1.0	0.92	0.8125	0.5370370370370371	0.5869565217391305	0.0	1.0	0.9615384615384616	0.8947368421052632	1.0	0.9047619047619048
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	2-heptanone	2h	8051	CCCCCC(=O)C	CCCCCC(=O)C	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3	CATSNJVOTSVZJV-UHFFFAOYSA-N	heptan-2-one	0.5217391304347826	0.7037037037037037	0.6666666666666666	0.7142857142857143	0.7058823529411765	0.7777777777777778	0.45901639344262296	0.43548387096774194	0.0	1.0	1.0	0.7619047619047619	0.8	0.9259259259259259
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	hexanal	6al	6184	CCCCCC=O	CCCCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3	JARKCYVAAOWBJS-UHFFFAOYSA-N	hexanal	0.47619047619047616	0.7407407407407407	0.6666666666666666	0.6666666666666666	0.6785714285714286	0.7058823529411765	0.1951219512195122	0.17073170731707318	0.0	0.8	0.8888888888888888	0.7619047619047619	0.6666666666666666	0.8181818181818182
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	b-citronellol	B-cit	101977	CC(CCC=C(C)C)CCO	C[C@H](CCC=C(C)C)CCO	InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m1/s1	QMVPMAAFGQKVCJ-SNVBAGLBSA-N	(3R)-3,7-dimethyloct-6-en-1-ol	0.3076923076923077	0.8648648648648649	0.631578947368421	1.0	0.7894736842105263	0.7142857142857143	0.5747126436781609	0.6195652173913043	1.0	0.8333333333333334	0.64	0.9310344827586207	0.7894736842105263	0.9
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	isopentyl acetate	IaA	31276	CC(C)CCOC(=O)C	CC(C)CCOC(=O)C	InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3	MLFHJEHSLIIPHL-UHFFFAOYSA-N	3-methylbutyl acetate	0.5555555555555556	0.9142857142857143	0.8	1.0	0.9148936170212766	0.8055555555555556	0.5487804878048781	0.6190476190476191	1.0	1.0	0.9090909090909091	0.9655172413793104	0.95	0.9722222222222222
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	linalool	Lin	6549	CC(=CCCC(C)(C=C)O)C	CC(=CCCC(C)(C=C)O)C	InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3	CDOSHBSSFJOMGT-UHFFFAOYSA-N	3,7-dimethylocta-1,6-dien-3-ol	0.5666666666666667	0.9230769230769231	0.75	1.0	0.8870967741935484	0.8425925925925926	0.7016129032258065	0.7272727272727273	1.0	0.8571428571428571	0.8695652173913043	1.0	0.9	0.9791666666666666
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	acetic acid	aa	176	CC(=O)O	CC(=O)O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	QTBSBXVTEAMEQO-UHFFFAOYSA-N	acetic acid	0.8260869565217391	0.9047619047619048	0.9411764705882353	1.0	1.0	0.8	0.5740740740740741	0.7142857142857143	1.0	0.6	0.8695652173913043	0.9444444444444444	1.0	1.0
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	benzaldehyde	benz	240	C1=CC=C(C=C1)C=O	C1=CC=C(C=C1)C=O	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N	benzaldehyde	0.9583333333333334	1.0	0.95	1.0	1.0	1.0	0.627906976744186	0.8125	1.0	1.0	1.0	1.0	1.0	1.0
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	ethyl butyrate	eb	7762	CCCC(=O)OCC	CCCC(=O)OCC	InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3	OBNCKNCVKJNDBV-UHFFFAOYSA-N	ethyl butanoate	0.44	0.8387096774193549	0.7894736842105263	1.0	0.8157894736842105	0.7941176470588235	0.463768115942029	0.5675675675675675	1.0	1.0	0.7741935483870968	0.92	0.8947368421052632	0.8928571428571429
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	ethyl propionate	ep	7749	CCC(=O)OCC	CCC(=O)OCC	InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	FKRCODPIKNYEAC-UHFFFAOYSA-N	ethyl propanoate	0.6	0.8571428571428571	0.8421052631578947	1.0	0.9142857142857143	0.8214285714285714	0.421875	0.5909090909090909	1.0	1.0	0.9090909090909091	0.9583333333333334	1.0	1.0
