olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name
1-hexanol	1-6ol	12225319	107.21	CCCCCCO	[2H]C([2H])([2H])C([2H])([2H])CCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D3,2D2	ZSIAUFGUXNUGDI-ZBJDZAJPSA-N	5,5,6,6,6-pentadeuteriohexan-1-ol	1-hexanol-d5
1-hexanol	1-6ol	12225321	103.18	CCCCCCO	[2H]OCCCCCC	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i7D	ZSIAUFGUXNUGDI-WHRKIXHSSA-N	1-deuteriooxyhexane	1-deuteriooxyhexane
1-hexanol	1-6ol	16212921	115.25	CCCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D2	ZSIAUFGUXNUGDI-UTBWLCBWSA-N	1,1,2,2,3,3,4,4,5,5,6,6,6-tridecadeuteriohexan-1-ol	1-hexan-d13-ol
1-hexanol	1-6ol	46844235	105.19	CCCCCCO	[H][C@@]([2H])(CCC([2H])C[2H])CO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D,2D,5D/t2?,5-/m1/s1	ZSIAUFGUXNUGDI-DBSIKJIBSA-N	(2R)-2,5,6-trideuteriohexan-1-ol	(2R)-2,5,6-trideuteriohexan-1-ol
1-hexanol	1-6ol	59168449	104.18	CCCCCCO	[3H]C(CCCCC)O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i6T	ZSIAUFGUXNUGDI-NGIXYFTOSA-N	1-tritiohexan-1-ol	1-tritiohexan-1-ol
1-hexanol	1-6ol	71308863	108.13	CCCCCCO	[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1+1,2+1,3+1,4+1,5+1,6+1	ZSIAUFGUXNUGDI-IDEBNGHGSA-N	(1,2,3,4,5,6-13C6)hexan-1-ol	(~13~c_6_)hexan-1-ol
1-hexanol	1-6ol	91748629	113.24	CCCCCCO	[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])CO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D3,2D2,3D2,4D2,5D2	ZSIAUFGUXNUGDI-GILSBCIXSA-N	2,2,3,3,4,4,5,5,6,6,6-undecadeuteriohexan-1-ol	2159-18-4
1-hexanol	1-6ol	101200228	104.19	CCCCCCO	[2H]C([2H])(CCCC)CO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i5D2	ZSIAUFGUXNUGDI-BFWBPSQCSA-N	2,2-dideuteriohexan-1-ol	2,2-dideuteriohexan-1-ol
1-hexanol	1-6ol	102241348	112.24	CCCCCCO	[2H]C([2H])(C)C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i2D2,3D2,4D2,5D2,6D2	ZSIAUFGUXNUGDI-DMFASMMLSA-N	1,1,2,2,3,3,4,4,5,5-decadeuteriohexan-1-ol	1,1,2,2,3,3,4,4,5,5-decadeuteriohexan-1-ol
1-hexanol	1-6ol	122211903	105.19	CCCCCCO	[2H]C([2H])(CCCCC)O[2H]	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i6D2,7D	ZSIAUFGUXNUGDI-TXXOLCOUSA-N	1,1-dideuterio-1-deuteriooxyhexane	1,1-dideuterio-1-deuteriooxyhexane
